rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
16056,1,1,360,1,360,0,0,0,42,136,163.8,1.73,33.5,160.56,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,82.033,3.664,204502.326,3.627,-0.022,-16.785,-0.296,582.224,0.204,-0.093,1.368,13.163,884.954,87952,119.784,145.293,,,359,3.654,0.027,11.81112849
2,81.564,3.195,204477.146,3.604,-0.021,-33.576,-0.281,578.562,0.189,-0.092,1.368,0,0,87750,,,,,358,3.646,0.042,
3,82.095,3.726,204435.17,3.587,-0.014,-50.379,-0.192,575.662,0.177,-0.015,1.368,0,0,87450,,,,,357,3.625,0.038,
4,81.918,3.549,204376.383,3.578,-0.005,-67.198,-0.084,574.028,0.171,0.087,1.369,0,0,87882,,,,,356,3.599,0.021,
5,82.31,3.941,204300.766,3.578,0.005,-84.041,0.039,573.793,0.17,0.208,1.369,0,0,88044,,,,,355,3.568,-0.01,
6,81.511,3.141,204208.291,3.589,0.017,-100.913,0.195,575.272,0.176,0.37,1.368,0,0,87668,,,,,354,3.531,-0.058,
7,81.695,3.326,204098.929,3.613,0.031,-117.818,0.366,578.845,0.19,0.556,1.368,0,0,87662,,,,,353,3.484,-0.129,
8,82.518,4.148,203972.642,3.649,0.041,-134.763,0.484,584.323,0.212,0.696,1.368,0,0,88118,,,,,352,3.431,-0.218,
9,81.88,3.51,203829.388,3.691,0.04,-151.753,0.467,590.524,0.237,0.704,1.367,0,0,88088,,,,,351,3.385,-0.306,
10,81.833,3.464,203669.12,3.724,0.025,-168.793,0.271,595.452,0.257,0.528,1.367,0,0,87674,,,,,350,3.359,-0.365,
11,82.664,4.295,203491.784,3.737,-0.001,-185.888,-0.077,596.981,0.263,0.186,1.366,0,0,87840,,,,,349,3.363,-0.374,
12,82.026,3.656,203297.324,3.721,-0.031,-203.044,-0.463,593.833,0.25,-0.213,1.367,0,0,88344,,,,,348,3.396,-0.325,
13,82.202,3.833,203085.675,3.679,-0.05,-220.264,-0.719,586.527,0.22,-0.499,1.367,0,0,87900,,,,,347,3.444,-0.235,
14,82.272,3.902,202856.772,3.627,-0.05,-237.554,-0.716,577.556,0.184,-0.532,1.368,0,0,87678,,,,,346,3.488,-0.139,
15,81.134,2.765,202610.542,3.586,-0.03,-254.918,-0.462,570.287,0.155,-0.307,1.369,0,0,87968,,,,,345,3.514,-0.072,
16,82.164,3.795,202346.91,3.57,-0.002,-272.361,-0.107,567.055,0.142,0.035,1.369,0,0,87894,,,,,344,3.517,-0.053,
17,81.603,3.234,202065.793,3.58,0.02,-289.885,0.165,567.922,0.145,0.31,1.369,0,0,87514,,,,,343,3.509,-0.071,
18,82.349,3.979,201767.11,3.606,0.028,-307.496,0.267,571.122,0.158,0.425,1.369,0,0,87616,,,,,342,3.507,-0.099,
19,82.264,3.895,201450.771,3.634,0.027,-325.197,0.247,574.701,0.172,0.42,1.369,0,0,87708,,,,,341,3.522,-0.112,
20,81.518,3.149,201116.685,3.66,0.026,-342.99,0.218,577.857,0.185,0.403,1.368,0,0,87216,,,,,340,3.556,-0.104,
21,82.241,3.872,200764.759,3.687,0.029,-360.88,0.256,581.043,0.197,0.454,1.368,0,0,86878,,,,,339,3.601,-0.086,
22,82.049,3.68,200394.893,3.72,0.038,-378.868,0.358,585.163,0.214,0.572,1.368,0,0,87026,,,,,338,3.645,-0.075,
23,82.31,3.941,200006.99,3.762,0.046,-396.957,0.452,590.625,0.236,0.688,1.367,0,0,86820,,,,,337,3.677,-0.085,
24,81.695,3.326,199600.945,3.808,0.045,-415.15,0.433,596.701,0.26,0.693,1.366,0,0,86436,,,,,336,3.686,-0.122,
25,82.341,3.972,199176.655,3.847,0.029,-433.448,0.225,601.459,0.279,0.504,1.366,0,0,86482,,,,,335,3.662,-0.185,
26,82.656,4.287,198734.014,3.863,0.001,-451.853,-0.144,602.587,0.284,0.139,1.366,0,0,86518,,,,,334,3.598,-0.265,
27,82.587,4.218,198272.913,3.848,-0.03,-470.366,-0.534,598.845,0.268,-0.266,1.366,0,0,86068,,,,,333,3.494,-0.354,
28,81.88,3.51,197793.246,3.806,-0.05,-488.988,-0.79,590.986,0.236,-0.554,1.367,0,0,86192,,,,,332,3.367,-0.439,
29,82.003,3.633,197294.901,3.752,-0.056,-507.72,-0.867,581.123,0.196,-0.671,1.368,0,0,86220,,,,,331,3.24,-0.512,
30,81.91,3.541,196777.77,3.697,-0.054,-526.561,-0.85,571.061,0.155,-0.694,1.369,0,0,85958,,,,,330,3.138,-0.559,
31,82.341,3.972,196241.743,3.643,-0.054,-545.512,-0.847,561.22,0.116,-0.731,1.37,0,0,85718,,,,,329,3.07,-0.573,
32,81.726,3.357,195686.709,3.588,-0.057,-564.573,-0.885,551.094,0.075,-0.81,1.371,0,0,86062,,,,,328,3.031,-0.557,
33,82.525,4.156,195112.561,3.529,-0.059,-583.741,-0.903,540.484,0.032,-0.87,1.372,0,0,86148,,,,,327,3.01,-0.519,
34,81.026,2.657,194519.191,3.472,-0.054,-603.017,-0.837,530.103,-0.01,-0.847,1.373,0,0,85740,,,,,326,3.001,-0.471,
35,82.018,3.649,193906.492,3.423,-0.042,-622.398,-0.692,521.082,-0.046,-0.738,1.374,0,0,85904,,,,,325,3.008,-0.415,
36,81.818,3.449,193274.36,3.388,-0.029,-641.883,-0.532,514.072,-0.074,-0.606,1.374,0,0,86428,,,,,324,3.036,-0.352,
37,81.726,3.357,192622.693,3.365,-0.02,-661.469,-0.433,508.771,-0.096,-0.529,1.375,0,0,86154,,,,,323,3.086,-0.279,
38,81.341,2.972,191951.39,3.345,-0.021,-681.153,-0.444,504.061,-0.115,-0.559,1.375,0,0,85944,,,,,322,3.152,-0.193,
