rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
16014,1,1,360,3,360,0,0,0,42,136,163.8,1.73,33.5,160.14,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,81.211,3.673,204502.326,3.387,0.056,-16.785,0.719,543.696,0.05,0.768,1.372,14.197,951.928,88402,131.201,146.679,,,359,3.307,-0.08,12.71660894
2,81.28,3.743,204477.146,3.438,0.04,-33.576,0.513,551.903,0.082,0.595,1.371,0,0,88298,,,,,358,3.308,-0.13,
3,81.272,3.735,204435.17,3.46,0,-50.379,-0.018,555.292,0.096,0.078,1.37,0,0,88528,,,,,357,3.324,-0.136,
4,81.088,3.55,204376.383,3.436,-0.046,-67.198,-0.619,551.273,0.08,-0.539,1.371,0,0,88388,,,,,356,3.336,-0.1,
5,81.218,3.681,204300.766,3.372,-0.077,-84.041,-1.014,540.793,0.038,-0.976,1.372,0,0,88096,,,,,355,3.339,-0.033,
6,80.273,2.736,204208.291,3.29,-0.081,-100.913,-1.067,527.467,-0.015,-1.081,1.373,0,0,88110,,,,,354,3.338,0.048,
7,80.926,3.389,204098.929,3.218,-0.061,-117.818,-0.809,515.534,-0.062,-0.871,1.374,0,0,88358,,,,,353,3.341,0.123,
8,80.527,2.989,203972.642,3.173,-0.027,-134.763,-0.375,508.113,-0.091,-0.467,1.375,0,0,88328,,,,,352,3.341,0.168,
9,80.557,3.02,203829.388,3.166,0.01,-151.753,0.091,506.511,-0.098,-0.006,1.375,0,0,88148,,,,,351,3.326,0.16,
10,80.434,2.897,203669.12,3.193,0.042,-168.793,0.485,510.42,-0.082,0.403,1.375,0,0,88350,,,,,350,3.285,0.092,
11,81.257,3.72,203491.784,3.246,0.063,-185.888,0.749,518.501,-0.051,0.698,1.374,0,0,88534,,,,,349,3.228,-0.018,
12,80.342,2.805,203297.324,3.314,0.072,-203.044,0.86,528.932,-0.009,0.851,1.373,0,0,88458,,,,,348,3.178,-0.136,
13,81.203,3.666,203085.675,3.386,0.07,-220.264,0.832,539.846,0.034,0.866,1.372,0,0,88246,,,,,347,3.16,-0.226,
14,80.911,3.374,202856.772,3.452,0.061,-237.554,0.714,549.757,0.073,0.787,1.371,0,0,88186,,,,,346,3.187,-0.265,
15,81.349,3.812,202610.542,3.509,0.052,-254.918,0.589,558.037,0.106,0.695,1.37,0,0,88290,,,,,345,3.252,-0.257,
16,80.972,3.435,202346.91,3.558,0.048,-272.361,0.532,565.125,0.134,0.666,1.369,0,0,88140,,,,,344,3.338,-0.22,
17,81.08,3.543,202065.793,3.606,0.049,-289.885,0.544,572.004,0.162,0.706,1.369,0,0,88084,,,,,343,3.424,-0.182,
18,81.003,3.466,201767.11,3.656,0.05,-307.496,0.538,579.097,0.19,0.729,1.368,0,0,88228,,,,,342,3.491,-0.165,
19,81.195,3.658,201450.771,3.702,0.04,-325.197,0.405,585.467,0.216,0.621,1.368,0,0,88018,,,,,341,3.528,-0.174,
20,81.872,4.335,201116.685,3.732,0.018,-342.99,0.113,589.198,0.23,0.344,1.367,0,0,87782,,,,,340,3.532,-0.2,
21,81.134,3.597,200764.759,3.736,-0.01,-360.88,-0.251,588.736,0.228,-0.022,1.367,0,0,87820,,,,,339,3.503,-0.233,
22,81.234,3.696,200394.893,3.713,-0.033,-378.868,-0.54,584.084,0.21,-0.331,1.368,0,0,87660,,,,,338,3.448,-0.265,
23,81.564,4.027,200006.99,3.675,-0.041,-396.957,-0.648,576.919,0.181,-0.467,1.368,0,0,87066,,,,,337,3.379,-0.296,
24,80.58,3.043,199600.945,3.636,-0.034,-415.15,-0.558,569.695,0.151,-0.407,1.369,0,0,86928,,,,,336,3.312,-0.324,
25,81.388,3.85,199176.655,3.611,-0.016,-433.448,-0.335,564.517,0.13,-0.205,1.37,0,0,86822,,,,,335,3.263,-0.348,
