rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
15973,1,1,360,6,360,0,0,0,42,136,163.8,1.73,33.5,159.73,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,78.62,3.76,204502.326,3.507,-0.08,-16.785,-1.037,562.914,0.126,-0.91,1.37,13.821,924.347,88226,127.308,146.501,,,359,3.623,0.116,12.48975978
2,77.897,3.037,204477.146,3.424,-0.083,-33.576,-1.08,549.602,0.073,-1.007,1.371,0,0,88174,,,,,358,3.629,0.205,
3,78.436,3.575,204435.17,3.344,-0.076,-50.379,-0.99,536.672,0.022,-0.968,1.372,0,0,88394,,,,,357,3.596,0.252,
4,78.213,3.352,204376.383,3.274,-0.064,-67.198,-0.839,525.28,-0.023,-0.862,1.373,0,0,88392,,,,,356,3.535,0.261,
5,77.705,2.845,204300.766,3.218,-0.049,-84.041,-0.644,516.018,-0.06,-0.704,1.374,0,0,88734,,,,,355,3.462,0.244,
6,78.251,3.391,204208.291,3.179,-0.028,-100.913,-0.383,509.561,-0.085,-0.469,1.375,0,0,88852,,,,,354,3.391,0.212,
7,77.813,2.952,204098.929,3.164,0,-117.818,-0.036,506.912,-0.096,-0.132,1.375,0,0,88600,,,,,353,3.332,0.168,
8,78.128,3.268,203972.642,3.18,0.033,-134.763,0.379,509.126,-0.087,0.292,1.375,0,0,88432,,,,,352,3.294,0.114,
9,77.651,2.791,203829.388,3.229,0.065,-151.753,0.784,516.627,-0.058,0.726,1.374,0,0,88376,,,,,351,3.281,0.052,
10,77.982,3.121,203669.12,3.306,0.087,-168.793,1.063,528.559,-0.011,1.053,1.373,0,0,88496,,,,,350,3.29,-0.016,
11,78.789,3.929,203491.784,3.397,0.091,-185.888,1.113,542.623,0.045,1.158,1.372,0,0,88552,,,,,349,3.311,-0.086,
12,78.151,3.291,203297.324,3.481,0.074,-203.044,0.887,555.575,0.097,0.984,1.37,0,0,88300,,,,,348,3.33,-0.151,
13,78.366,3.506,203085.675,3.539,0.038,-220.264,0.422,564.145,0.131,0.553,1.37,0,0,88024,,,,,347,3.335,-0.204,
14,78.782,3.921,202856.772,3.555,-0.007,-237.554,-0.16,566.054,0.138,-0.022,1.369,0,0,88072,,,,,346,3.325,-0.23,
15,78.889,4.029,202610.542,3.527,-0.046,-254.918,-0.672,560.956,0.118,-0.555,1.37,0,0,88224,,,,,345,3.306,-0.221,
16,77.982,3.121,202346.91,3.468,-0.066,-272.361,-0.921,550.931,0.078,-0.844,1.371,0,0,87886,,,,,344,3.291,-0.177,
17,78.167,3.306,202065.793,3.405,-0.056,-289.885,-0.798,540.05,0.034,-0.764,1.372,0,0,87766,,,,,343,3.29,-0.115,
18,78.282,3.421,201767.11,3.365,-0.02,-307.496,-0.337,532.93,0.006,-0.332,1.373,0,0,87706,,,,,342,3.307,-0.058,
19,77.698,2.837,201450.771,3.37,0.03,-325.197,0.289,532.876,0.005,0.295,1.373,0,0,87354,,,,,341,3.332,-0.038,
20,78.143,3.283,201116.685,3.424,0.074,-342.99,0.84,540.486,0.035,0.875,1.372,0,0,86904,,,,,340,3.354,-0.07,
21,78.482,3.621,200764.759,3.511,0.094,-360.88,1.087,553.293,0.086,1.173,1.371,0,0,87252,,,,,339,3.368,-0.143,
22,78.405,3.544,200394.893,3.602,0.081,-378.868,0.912,566.594,0.139,1.052,1.369,0,0,87336,,,,,338,3.373,-0.229,
23,78.889,4.029,200006.99,3.664,0.039,-396.957,0.372,575.287,0.174,0.546,1.368,0,0,86534,,,,,337,3.372,-0.292,
24,78.828,3.967,199600.945,3.677,-0.013,-415.15,-0.297,576.152,0.177,-0.12,1.368,0,0,86512,,,,,336,3.361,-0.316,
25,78.72,3.859,199176.655,3.642,-0.052,-433.448,-0.79,569.487,0.15,-0.64,1.369,0,0,87110,,,,,335,3.331,-0.311,
26,78.62,3.76,198734.014,3.583,-0.062,-451.853,-0.916,558.884,0.108,-0.808,1.37,0,0,86764,,,,,334,3.274,-0.309,
27,77.605,2.745,198272.913,3.527,-0.047,-470.366,-0.728,548.891,0.067,-0.66,1.371,0,0,86412,,,,,333,3.195,-0.332,
28,77.913,3.052,197793.246,3.491,-0.025,-488.988,-0.46,542.093,0.04,-0.42,1.372,0,0,86814,,,,,332,3.111,-0.38,
29,79.166,4.305,197294.901,3.474,-0.014,-507.72,-0.327,537.97,0.023,-0.304,1.372,0,0,86836,,,,,331,3.043,-0.431,
30,78.305,3.444,196777.77,3.459,-0.016,-526.561,-0.358,534.373,0.009,-0.349,1.372,0,0,86050,,,,,330,3.007,-0.452,
31,78.374,3.514,196241.743,3.44,-0.021,-545.512,-0.423,529.961,-0.009,-0.432,1.373,0,0,86186,,,,,329,3.003,-0.437,
32,77.79,2.929,195686.709,3.419,-0.018,-564.573,-0.391,525.244,-0.028,-0.42,1.373,0,0,86752,,,,,328,3.017,-0.402,
33,78.459,3.598,195112.561,3.406,-0.006,-583.741,-0.245,521.72,-0.043,-0.287,1.374,0,0,86594,,,,,327,3.033,-0.373,
34,78.251,3.391,194519.191,3.408,0.01,-603.017,-0.057,520.437,-0.048,-0.105,1.374,0,0,85684,,,,,326,3.041,-0.367,
35,78.313,3.452,193906.492,3.425,0.022,-622.398,0.08,521.308,-0.045,0.035,1.374,0,0,86254,,,,,325,3.044,-0.381,
36,77.944,3.083,193274.36,3.449,0.024,-641.883,0.099,523.228,-0.038,0.062,1.374,0,0,86482,,,,,324,3.051,-0.398,
37,78.674,3.813,192622.693,3.469,0.015,-661.469,-0.014,524.575,-0.033,-0.047,1.373,0,0,85884,,,,,323,3.077,-0.392,
38,78.428,3.567,191951.39,3.477,-0.001,-681.153,-0.221,523.856,-0.036,-0.257,1.374,0,0,85832,,,,,322,3.133,-0.344,
39,78.436,3.575,191260.356,3.466,-0.02,-700.932,-0.451,520.322,-0.051,-0.501,1.374,0,0,86432,,,,,321,3.222,-0.244,
40,78.343,3.483,190549.496,3.437,-0.036,-720.803,-0.645,514.105,-0.076,-0.721,1.374,0,0,86230,,,,,320,3.337,-0.1,
41,77.928,3.068,189818.721,3.394,-0.048,-740.761,-0.79,505.777,-0.109,-0.899,1.375,0,0,85726,,,,,319,3.471,0.077,
42,78.397,3.537,189067.947,3.342,-0.056,-760.802,-0.874,495.978,-0.149,-1.023,1.376,0,0,86164,,,,,318,3.617,0.275,
43,78.451,3.59,188297.091,3.286,-0.054,-780.922,-0.849,485.687,-0.19,-1.039,1.377,0,0,86600,,,,,317,3.773,0.487,
44,78.143,3.283,187506.078,3.238,-0.038,-801.115,-0.666,476.637,-0.226,-0.893,1.378,0,0,86110,,,,,316,3.937,0.699,
45,77.367,2.506,186694.838,3.212,-0.012,-821.376,-0.367,470.764,-0.25,-0.617,1.379,0,0,86052,,,,,315,4.105,0.893,
46,77.859,2.998,185863.306,3.213,0.011,-841.698,-0.101,468.746,-0.259,-0.359,1.379,0,0,86742,,,,,314,4.271,1.058,
47,78.389,3.529,185011.423,3.23,0.02,-862.076,-0.013,469.141,-0.258,-0.271,1.379,0,0,86694,,,,,313,4.431,1.201,
48,78.62,3.76,184139.138,3.247,0.011,-882.502,-0.116,469.354,-0.258,-0.373,1.379,0,0,86400,,,,,312,4.582,1.335,
49,77.759,2.899,183246.405,3.251,-0.002,-902.97,-0.277,467.666,-0.265,-0.542,1.379,0,0,86832,,,,,311,4.73,1.479,
50,78.305,3.444,182333.187,3.244,-0.009,-923.471,-0.356,464.334,-0.279,-0.635,1.38,0,0,87364,,,,,310,4.89,1.646,
51,77.882,3.022,181399.454,3.236,-0.006,-943.998,-0.329,460.773,-0.294,-0.622,1.38,0,0,86994,,,,,309,5.081,1.845,
52,77.859,2.998,180445.185,3.232,-0.003,-964.543,-0.298,457.793,-0.306,-0.604,1.38,0,0,87046,,,,,308,5.315,2.083,
