rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
16012,1,1,360,4,360,0,0,0,42,136,163.8,1.73,33.5,160.12,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,80.019,2.951,204502.326,3.321,-0.029,-16.785,-0.377,533.06,0.008,-0.369,1.373,14.352,962.206,87984,129.246,142.815,,,359,3.353,0.032,12.90108939
2,80.642,3.573,204477.146,3.293,-0.022,-33.576,-0.288,528.559,-0.01,-0.299,1.373,0,0,87606,,,,,358,3.345,0.052,
3,80.096,3.028,204435.17,3.283,0.005,-50.379,0.056,526.874,-0.017,0.039,1.373,0,0,88318,,,,,357,3.333,0.05,
4,79.796,2.728,204376.383,3.306,0.04,-67.198,0.498,530.405,-0.003,0.495,1.373,0,0,88580,,,,,356,3.333,0.027,
5,80.642,3.573,204300.766,3.36,0.064,-84.041,0.803,538.904,0.031,0.833,1.372,0,0,88248,,,,,355,3.347,-0.013,
6,80.457,3.389,204208.291,3.427,0.064,-100.913,0.794,549.378,0.072,0.867,1.371,0,0,88444,,,,,354,3.37,-0.057,
7,81.003,3.935,204098.929,3.48,0.038,-117.818,0.453,557.584,0.105,0.558,1.37,0,0,89030,,,,,353,3.384,-0.096,
8,80.457,3.389,203972.642,3.498,-0.004,-134.763,-0.089,560.085,0.115,0.026,1.37,0,0,88672,,,,,352,3.377,-0.121,
9,80.826,3.758,203829.388,3.473,-0.044,-151.753,-0.616,555.709,0.097,-0.519,1.37,0,0,87836,,,,,351,3.342,-0.131,
10,80.527,3.458,203669.12,3.415,-0.068,-168.793,-0.928,545.921,0.058,-0.87,1.371,0,0,88308,,,,,350,3.284,-0.131,
11,80.657,3.589,203491.784,3.344,-0.067,-185.888,-0.914,534.2,0.012,-0.902,1.372,0,0,88948,,,,,349,3.214,-0.13,
12,79.589,2.52,203297.324,3.288,-0.042,-203.044,-0.593,524.663,-0.026,-0.619,1.373,0,0,88052,,,,,348,3.146,-0.142,
13,80.457,3.389,203085.675,3.264,-0.004,-220.264,-0.11,520.393,-0.043,-0.153,1.374,0,0,87446,,,,,347,3.094,-0.17,
14,80.357,3.289,202856.772,3.279,0.031,-237.554,0.33,522.176,-0.036,0.294,1.374,0,0,87956,,,,,346,3.068,-0.211,
15,79.873,2.805,202610.542,3.322,0.05,-254.918,0.559,528.309,-0.012,0.546,1.373,0,0,87984,,,,,345,3.077,-0.245,
16,81.019,3.95,202346.91,3.372,0.047,-272.361,0.518,535.601,0.017,0.534,1.372,0,0,87296,,,,,344,3.12,-0.252,
17,80.519,3.45,202065.793,3.411,0.028,-289.885,0.276,540.984,0.038,0.314,1.372,0,0,87512,,,,,343,3.19,-0.221,
18,80.442,3.374,201767.11,3.427,0.006,-307.496,-0.02,542.834,0.045,0.025,1.372,0,0,87458,,,,,342,3.273,-0.154,
19,80.803,3.735,201450.771,3.424,-0.011,-325.197,-0.23,541.411,0.039,-0.191,1.372,0,0,86876,,,,,341,3.353,-0.071,
20,79.981,2.912,201116.685,3.41,-0.014,-342.99,-0.277,538.374,0.027,-0.25,1.372,0,0,86846,,,,,340,3.413,0.003,
21,81.019,3.95,200764.759,3.4,-0.006,-360.88,-0.176,535.758,0.016,-0.16,1.372,0,0,87272,,,,,339,3.44,0.04,
22,79.912,2.843,200394.893,3.401,0.008,-378.868,-0.011,534.95,0.013,0.002,1.372,0,0,86966,,,,,338,3.432,0.031,
23,80.357,3.289,200006.99,3.415,0.019,-396.957,0.118,536.11,0.017,0.135,1.372,0,0,86868,,,,,337,3.394,-0.021,
24,80.926,3.858,199600.945,3.436,0.022,-415.15,0.158,538.36,0.026,0.184,1.372,0,0,87484,,,,,336,3.347,-0.089,
25,80.427,3.358,199176.655,3.458,0.02,-433.448,0.124,540.597,0.035,0.159,1.372,0,0,87322,,,,,335,3.311,-0.147,
26,80.65,3.581,198734.014,3.476,0.016,-451.853,0.069,542.237,0.041,0.11,1.372,0,0,86924,,,,,334,3.296,-0.18,
27,80.281,3.212,198272.913,3.491,0.013,-470.366,0.026,543.276,0.045,0.071,1.372,0,0,87228,,,,,333,3.292,-0.199,
28,80.603,3.535,197793.246,3.503,0.012,-488.988,-0.001,543.907,0.047,0.046,1.372,0,0,87792,,,,,332,3.276,-0.227,
29,80.865,3.796,197294.901,3.515,0.012,-507.72,-0.005,544.338,0.049,0.043,1.371,0,0,87450,,,,,331,3.234,-0.281,
30,80.619,3.55,196777.77,3.528,0.015,-526.561,0.028,544.947,0.051,0.079,1.371,0,0,87140,,,,,330,3.164,-0.364,
31,80.304,3.235,196241.743,3.545,0.02,-545.512,0.079,546.158,0.055,0.134,1.371,0,0,87364,,,,,329,3.079,-0.466,
32,80.419,3.351,195686.709,3.566,0.021,-564.573,0.079,547.83,0.062,0.141,1.371,0,0,87168,,,,,328,2.994,-0.572,
33,81.019,3.95,195112.561,3.583,0.011,-583.741,-0.04,548.849,0.066,0.026,1.371,0,0,86838,,,,,327,2.915,-0.668,
34,80.896,3.827,194519.191,3.586,-0.007,-603.017,-0.276,547.62,0.06,-0.216,1.371,0,0,87136,,,,,326,2.851,-0.735,
35,80.642,3.573,193906.492,3.568,-0.03,-622.398,-0.556,543.072,0.042,-0.514,1.372,0,0,87448,,,,,325,2.812,-0.756,
36,80.257,3.189,193274.36,3.528,-0.049,-641.883,-0.788,535.244,0.01,-0.778,1.372,0,0,86634,,,,,324,2.816,-0.712,
37,80.988,3.919,192622.693,3.473,-0.058,-661.469,-0.903,525.182,-0.03,-0.934,1.373,0,0,86424,,,,,323,2.873,-0.6,
38,80.396,3.327,191951.39,3.415,-0.055,-681.153,-0.858,514.62,-0.073,-0.931,1.374,0,0,86874,,,,,322,2.974,-0.441,
39,80.404,3.335,191260.356,3.368,-0.037,-700.932,-0.648,505.655,-0.109,-0.756,1.375,0,0,86680,,,,,321,3.095,-0.273,
40,80.065,2.997,190549.496,3.343,-0.011,-720.803,-0.335,500.105,-0.131,-0.467,1.376,0,0,86396,,,,,320,3.217,-0.126,
41,80.281,3.212,189818.721,3.345,0.013,-740.761,-0.06,498.476,-0.138,-0.198,1.376,0,0,86510,,,,,319,3.335,-0.01,
42,80.527,3.458,189067.947,3.365,0.022,-760.802,0.038,499.371,-0.135,-0.097,1.376,0,0,86424,,,,,318,3.463,0.098,
43,80.442,3.374,188297.091,3.384,0.012,-780.922,-0.081,500.122,-0.133,-0.213,1.376,0,0,86436,,,,,317,3.618,0.234,
44,80.972,3.904,187506.078,3.386,-0.008,-801.115,-0.327,498.4,-0.14,-0.468,1.376,0,0,86340,,,,,316,3.805,0.419,
45,80.373,3.304,186694.838,3.367,-0.028,-821.376,-0.557,493.512,-0.16,-0.717,1.377,0,0,86724,,,,,315,4.014,0.647,
46,80.035,2.966,185863.306,3.334,-0.038,-841.698,-0.675,486.391,-0.189,-0.864,1.377,0,0,86826,,,,,314,4.23,0.896,
47,80.58,3.512,185011.423,3.295,-0.038,-862.076,-0.68,478.547,-0.221,-0.901,1.378,0,0,86838,,,,,313,4.441,1.146,
48,80.219,3.151,184139.138,3.259,-0.032,-882.502,-0.614,471.146,-0.251,-0.864,1.379,0,0,87034,,,,,312,4.643,1.384,
49,80.58,3.512,183246.405,3.232,-0.022,-902.97,-0.5,464.887,-0.276,-0.776,1.379,0,0,87444,,,,,311,4.845,1.613,
50,79.842,2.774,182333.187,3.216,-0.008,-923.471,-0.345,460.33,-0.295,-0.64,1.38,0,0,87554,,,,,310,5.059,1.843,
51,80.334,3.266,181399.454,3.216,0.008,-943.998,-0.165,457.958,-0.305,-0.47,1.38,0,0,87830,,,,,309,5.294,2.078,
52,80.434,3.366,180445.185,3.232,0.023,-964.543,-0.009,457.832,-0.306,-0.315,1.38,0,0,87996,,,,,308,5.553,2.321,
53,79.927,2.859,179470.366,3.26,0.031,-985.096,0.067,459.278,-0.301,-0.234,1.38,0,0,88300,,,,,307,5.824,2.564,
54,80.65,3.581,178474.993,3.291,0.029,-1005.649,0.035,461.035,-0.295,-0.26,1.38,0,0,88346,,,,,306,6.092,2.801,
55,80.557,3.489,177459.071,3.315,0.019,-1026.192,-0.079,461.828,-0.293,-0.372,1.38,0,0,88628,,,,,305,6.343,3.028,
56,80.204,3.135,176422.615,3.329,0.007,-1046.716,-0.215,460.967,-0.297,-0.512,1.38,0,0,88806,,,,,304,6.569,3.24,
57,80.611,3.543,175365.649,3.331,-0.001,-1067.21,-0.312,458.582,-0.308,-0.62,1.38,0,0,88784,,,,,303,6.768,3.437,
58,80.304,3.235,174288.208,3.329,-0.003,-1087.664,-0.335,455.43,-0.321,-0.657,1.38,0,0,88802,,,,,302,6.944,3.615,
59,80.227,3.158,173190.337,3.328,0.003,-1108.067,-0.284,452.49,-0.334,-0.618,1.381,0,0,88978,,,,,301,7.106,3.778,
60,80.711,3.643,172072.094,3.336,0.013,-1128.408,-0.183,450.588,-0.343,-0.525,1.381,0,0,89006,,,,,300,7.264,3.928,
61,80.104,3.035,170933.546,3.355,0.024,-1148.675,-0.072,450.117,-0.346,-0.418,1.381,0,0,88754,,,,,299,7.43,4.075,
62,80.273,3.204,169774.772,3.384,0.033,-1168.857,0.007,450.923,-0.344,-0.337,1.381,0,0,88740,,,,,298,7.61,4.226,
63,80.703,3.635,168595.865,3.419,0.036,-1188.941,0.031,452.427,-0.339,-0.308,1.381,0,0,88926,,,,,297,7.803,4.384,
64,80.988,3.919,167396.927,3.454,0.033,-1208.915,-0.01,453.864,-0.335,-0.345,1.381,0,0,88638,,,,,296,8,4.546,
65,79.742,2.674,166178.075,3.483,0.023,-1228.767,-0.132,454.331,-0.334,-0.466,1.381,0,0,88388,,,,,295,8.188,4.705,
66,80.811,3.743,164939.438,3.497,0.003,-1248.484,-0.344,452.714,-0.342,-0.685,1.381,0,0,88740,,,,,294,8.351,4.854,
67,81.08,4.012,163681.157,3.487,-0.022,-1268.052,-0.599,448.034,-0.362,-0.961,1.381,0,0,88654,,,,,293,8.48,4.993,
68,80.665,3.597,162403.388,3.455,-0.039,-1287.457,-0.761,440.461,-0.393,-1.154,1.382,0,0,88678,,,,,292,8.572,5.117,
69,80.088,3.02,161106.301,3.418,-0.029,-1306.688,-0.666,432.24,-0.428,-1.094,1.383,0,0,88562,,,,,291,8.636,5.218,
70,80.68,3.612,159790.076,3.406,0.013,-1325.729,-0.258,427.262,-0.449,-0.707,1.383,0,0,88854,,,,,290,8.686,5.28,
71,79.819,2.751,158454.91,3.449,0.073,-1344.567,0.318,428.945,-0.444,-0.126,1.383,0,0,88932,,,,,289,8.733,5.284,
72,80.158,3.089,157101.015,3.549,0.122,-1363.187,0.765,437.68,-0.411,0.354,1.382,0,0,88776,,,,,288,8.783,5.234,
73,80.703,3.635,155728.614,3.68,0.13,-1381.575,0.808,449.86,-0.364,0.445,1.381,0,0,88986,,,,,287,8.843,5.163,
74,81.903,4.834,154337.947,3.794,0.089,-1399.717,0.399,459.623,-0.326,0.073,1.38,0,0,89012,,,,,286,8.926,5.132,
75,80.988,3.919,152929.267,3.851,0.024,-1417.597,-0.239,462.321,-0.317,-0.556,1.38,0,0,88834,,,,,285,9.044,5.193,
76,81.526,4.458,151502.844,3.845,-0.031,-1435.202,-0.759,457.241,-0.339,-1.098,1.38,0,0,88776,,,,,284,9.2,5.355,
77,80.15,3.081,150058.96,3.8,-0.049,-1452.516,-0.922,447.64,-0.38,-1.303,1.381,0,0,88852,,,,,283,9.385,5.585,
78,80.673,3.604,148597.913,3.758,-0.028,-1469.525,-0.72,438.41,-0.419,-1.139,1.382,0,0,88890,,,,,282,9.573,5.815,
79,80.896,3.827,147120.018,3.752,0.017,-1486.212,-0.319,433.322,-0.442,-0.761,1.383,0,0,88432,,,,,281,9.741,5.989,
80,80.55,3.481,145625.601,3.793,0.061,-1502.564,0.064,433.537,-0.443,-0.379,1.383,0,0,88282,,,,,280,9.877,6.084,
81,80.742,3.673,144115.007,3.869,0.087,-1518.564,0.27,437.704,-0.429,-0.158,1.382,0,0,88262,,,,,279,9.99,6.121,
82,81.118,4.05,142588.595,3.959,0.088,-1534.198,0.259,443.145,-0.409,-0.15,1.382,0,0,88120,,,,,278,10.099,6.14,
83,81.564,4.496,141046.738,4.041,0.074,-1549.451,0.113,447.453,-0.394,-0.281,1.381,0,0,87778,,,,,277,10.229,6.188,
84,81.311,4.242,139489.824,4.108,0.062,-1564.308,-0.015,449.84,-0.386,-0.402,1.381,0,0,87348,,,,,276,10.389,6.281,
85,81.011,3.942,137918.259,4.169,0.065,-1578.753,-0.008,451.405,-0.382,-0.391,1.381,0,0,86942,,,,,275,10.571,6.402,
86,80.857,3.789,136332.461,4.243,0.084,-1592.771,0.13,454.048,-0.374,-0.244,1.381,0,0,86762,,,,,274,10.762,6.519,
87,81.657,4.588,134732.865,4.338,0.105,-1606.347,0.28,458.796,-0.357,-0.077,1.38,0,0,86598,,,,,273,10.952,6.614,
88,81.157,4.089,133119.919,4.448,0.111,-1619.467,0.298,464.833,-0.335,-0.036,1.379,0,0,86260,,,,,272,11.14,6.692,
89,81.926,4.857,131494.089,4.553,0.094,-1632.115,0.129,469.96,-0.316,-0.187,1.379,0,0,86066,,,,,271,11.323,6.77,
90,82.156,5.088,129855.852,4.631,0.061,-1644.276,-0.16,472.075,-0.31,-0.47,1.379,0,0,86164,,,,,270,11.496,6.865,
91,81.787,4.719,128205.703,4.675,0.03,-1655.937,-0.424,470.528,-0.319,-0.743,1.379,0,0,86202,,,,,269,11.655,6.98,
92,81.511,4.442,126544.149,4.696,0.017,-1667.083,-0.537,466.501,-0.339,-0.876,1.379,0,0,86110,,,,,268,11.802,7.106,
