rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
16052,1,1,360,5,360,0,0,0,42,136,163.8,1.73,33.5,160.52,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,80.411,3.437,204502.326,3.463,-0.014,-16.785,-0.18,555.874,0.098,-0.081,1.37,13.966,938.71,87762,127.7,145.301,,,359,3.489,0.026,12.6044581
2,80.419,3.445,204477.146,3.46,0.013,-33.576,0.158,555.424,0.096,0.254,1.37,0,0,88256,,,,,358,3.473,0.013,
3,80.004,3.03,204435.17,3.493,0.052,-50.379,0.66,560.471,0.117,0.777,1.37,0,0,87962,,,,,357,3.433,-0.06,
4,80.211,3.238,204376.383,3.563,0.085,-67.198,1.078,571.555,0.161,1.239,1.369,0,0,87872,,,,,356,3.379,-0.184,
5,80.942,3.968,204300.766,3.655,0.094,-84.041,1.192,586.103,0.219,1.412,1.367,0,0,88242,,,,,355,3.329,-0.326,
6,80.919,3.945,204208.291,3.741,0.075,-100.913,0.949,599.757,0.274,1.223,1.366,0,0,88436,,,,,354,3.291,-0.45,
7,80.926,3.952,204098.929,3.8,0.04,-117.818,0.489,608.796,0.311,0.799,1.365,0,0,88096,,,,,353,3.268,-0.532,
8,81.034,4.06,203972.642,3.823,0.007,-134.763,0.052,612.05,0.324,0.375,1.365,0,0,88026,,,,,352,3.255,-0.568,
9,80.627,3.653,203829.388,3.819,-0.01,-151.753,-0.177,611.108,0.32,0.143,1.365,0,0,88222,,,,,351,3.249,-0.57,
10,80.773,3.799,203669.12,3.809,-0.009,-168.793,-0.172,608.901,0.311,0.139,1.365,0,0,88372,,,,,350,3.249,-0.56,
11,80.588,3.614,203491.784,3.804,0,-185.888,-0.06,607.664,0.306,0.246,1.365,0,0,87982,,,,,349,3.256,-0.548,
12,80.757,3.783,203297.324,3.807,0.003,-203.044,-0.025,607.568,0.305,0.28,1.365,0,0,87650,,,,,348,3.272,-0.535,
13,80.796,3.822,203085.675,3.807,-0.008,-220.264,-0.171,606.851,0.303,0.131,1.365,0,0,87790,,,,,347,3.299,-0.508,
14,81.08,4.106,202856.772,3.79,-0.027,-237.554,-0.429,603.476,0.289,-0.14,1.366,0,0,87950,,,,,346,3.341,-0.449,
15,81.019,4.045,202610.542,3.755,-0.039,-254.918,-0.589,597.234,0.263,-0.326,1.366,0,0,87724,,,,,345,3.4,-0.355,
16,80.557,3.583,202346.91,3.718,-0.029,-272.361,-0.465,590.61,0.237,-0.228,1.367,0,0,87328,,,,,344,3.468,-0.25,
17,80.088,3.115,202065.793,3.704,0.004,-289.885,-0.047,587.467,0.224,0.177,1.367,0,0,87426,,,,,343,3.528,-0.176,
18,80.473,3.499,201767.11,3.728,0.044,-307.496,0.471,590.439,0.236,0.706,1.367,0,0,87436,,,,,342,3.56,-0.168,
19,80.926,3.952,201450.771,3.789,0.073,-325.197,0.834,599.131,0.271,1.105,1.366,0,0,86940,,,,,341,3.554,-0.235,
20,80.911,3.937,201116.685,3.867,0.078,-342.99,0.89,610.462,0.316,1.206,1.365,0,0,86660,,,,,340,3.52,-0.347,
21,81.103,4.129,200764.759,3.937,0.06,-360.88,0.644,620.513,0.357,1.001,1.364,0,0,86796,,,,,339,3.481,-0.456,
22,80.865,3.891,200394.893,3.981,0.026,-378.868,0.205,626.241,0.38,0.586,1.364,0,0,86644,,,,,338,3.458,-0.523,
23,81.242,4.268,200006.99,3.988,-0.012,-396.957,-0.297,626.12,0.38,0.082,1.364,0,0,86464,,,,,337,3.457,-0.531,
24,81.072,4.099,199600.945,3.958,-0.047,-415.15,-0.744,620.106,0.355,-0.389,1.364,0,0,86796,,,,,336,3.467,-0.491,
25,80.757,3.783,199176.655,3.898,-0.069,-433.448,-1.026,609.519,0.312,-0.714,1.365,0,0,86858,,,,,335,3.474,-0.424,
26,81.172,4.198,198734.014,3.826,-0.073,-451.853,-1.074,596.841,0.26,-0.814,1.366,0,0,86446,,,,,334,3.471,-0.355,
27,80.434,3.46,198272.913,3.758,-0.06,-470.366,-0.915,584.917,0.212,-0.703,1.368,0,0,86330,,,,,333,3.454,-0.304,
28,80.035,3.061,197793.246,3.708,-0.041,-488.988,-0.671,575.659,0.174,-0.496,1.368,0,0,86450,,,,,332,3.421,-0.287,
29,81.111,4.137,197294.901,3.675,-0.026,-507.72,-0.485,569.204,0.148,-0.337,1.369,0,0,86522,,,,,331,3.371,-0.304,
30,80.803,3.829,196777.77,3.653,-0.021,-526.561,-0.423,564.289,0.128,-0.295,1.37,0,0,86296,,,,,330,3.303,-0.35,
31,80.596,3.622,196241.743,3.632,-0.023,-545.512,-0.454,559.479,0.109,-0.345,1.37,0,0,86018,,,,,329,3.221,-0.411,
32,80.096,3.122,195686.709,3.607,-0.027,-564.573,-0.51,554.058,0.087,-0.424,1.371,0,0,86294,,,,,328,3.136,-0.471,
33,81.034,4.06,195112.561,3.578,-0.031,-583.741,-0.557,548.002,0.062,-0.494,1.371,0,0,86362,,,,,327,3.057,-0.521,
34,80.68,3.706,194519.191,3.546,-0.034,-603.017,-0.604,541.41,0.035,-0.569,1.372,0,0,85964,,,,,326,2.996,-0.55,
35,79.735,2.761,193906.492,3.509,-0.041,-622.398,-0.683,534.073,0.006,-0.677,1.372,0,0,85860,,,,,325,2.963,-0.546,
36,81.211,4.237,193274.36,3.464,-0.05,-641.883,-0.802,525.493,-0.029,-0.831,1.373,0,0,86086,,,,,324,2.968,-0.496,
37,80.119,3.145,192622.693,3.408,-0.061,-661.469,-0.928,515.297,-0.07,-0.998,1.374,0,0,85832,,,,,323,3.015,-0.393,
38,80.427,3.453,191951.39,3.343,-0.066,-681.153,-0.99,503.793,-0.116,-1.106,1.376,0,0,85708,,,,,322,3.103,-0.24,
39,80.419,3.445,191260.356,3.279,-0.061,-700.932,-0.922,492.231,-0.162,-1.084,1.377,0,0,85712,,,,,321,3.228,-0.051,
40,79.658,2.684,190549.496,3.225,-0.043,-720.803,-0.71,482.437,-0.201,-0.911,1.378,0,0,85956,,,,,320,3.388,0.163,
41,80.342,3.368,189818.721,3.195,-0.017,-740.761,-0.402,476.02,-0.227,-0.629,1.378,0,0,85666,,,,,319,3.577,0.382,
42,80.088,3.115,189067.947,3.191,0.01,-760.802,-0.092,473.65,-0.237,-0.328,1.379,0,0,85492,,,,,318,3.783,0.592,
43,79.988,3.015,188297.091,3.212,0.029,-780.922,0.118,474.723,-0.233,-0.115,1.378,0,0,85682,,,,,317,3.985,0.773,
44,80.265,3.291,187506.078,3.243,0.031,-801.115,0.136,477.364,-0.223,-0.088,1.378,0,0,85578,,,,,316,4.165,0.922,
45,80.273,3.299,186694.838,3.267,0.013,-821.376,-0.08,478.79,-0.218,-0.298,1.378,0,0,85530,,,,,315,4.317,1.05,
