rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
9323,1,1,360,6,360,0,0,0,42,136,163.8,0,27.8,93.23,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
41,76.06,1.655,189818.721,1.519,0.019,-740.761,0.133,594.276,0.094,0.226,1.367,0,0,146950,,,,,319,1.439,-0.08,
42,76.191,1.786,189067.947,1.541,0.023,-760.802,0.17,600.511,0.103,0.273,1.366,0,0,147076,,,,,318,1.411,-0.13,
43,76.006,1.601,188297.091,1.561,0.014,-780.922,0.066,605.559,0.111,0.177,1.366,0,0,147506,,,,,317,1.371,-0.19,
44,75.799,1.394,187506.078,1.568,-0.001,-801.115,-0.12,605.756,0.111,-0.008,1.366,0,0,147540,,,,,316,1.324,-0.244,
45,76.052,1.647,186694.838,1.559,-0.016,-821.376,-0.305,599.762,0.102,-0.203,1.366,0,0,147974,,,,,315,1.277,-0.282,
46,76.275,1.87,185863.306,1.538,-0.024,-841.698,-0.4,588.974,0.085,-0.315,1.367,0,0,147764,,,,,314,1.237,-0.301,
47,75.722,1.317,185011.423,1.515,-0.019,-862.076,-0.337,577.474,0.067,-0.27,1.368,0,0,148348,,,,,313,1.221,-0.294,
48,75.914,1.509,184139.138,1.504,0,-882.502,-0.117,570.695,0.056,-0.061,1.369,0,0,148462,,,,,312,1.242,-0.262,
49,75.376,0.971,183246.405,1.516,0.025,-902.97,0.168,572.569,0.059,0.227,1.369,0,0,148992,,,,,311,1.312,-0.204,
50,76.029,1.624,182333.187,1.552,0.045,-923.471,0.395,583.152,0.075,0.47,1.368,0,0,149192,,,,,310,1.424,-0.128,
51,76.375,1.97,181399.454,1.603,0.054,-943.998,0.5,599.115,0.1,0.6,1.366,0,0,149418,,,,,309,1.554,-0.049,
52,75.96,1.555,180445.185,1.659,0.056,-964.543,0.513,616.701,0.127,0.64,1.365,0,0,149604,,,,,308,1.674,0.015,
53,76.145,1.74,179470.366,1.714,0.055,-985.096,0.491,633.979,0.154,0.646,1.363,0,0,149770,,,,,307,1.765,0.051,
54,75.845,1.44,178474.993,1.768,0.051,-1005.649,0.436,650.167,0.18,0.615,1.361,0,0,150312,,,,,306,1.831,0.063,
55,76.406,2.001,177459.071,1.814,0.039,-1026.192,0.29,663.42,0.201,0.491,1.36,0,0,150464,,,,,305,1.893,0.079,
56,76.46,2.055,176422.615,1.843,0.017,-1046.716,0.019,670.132,0.211,0.231,1.36,0,0,150772,,,,,304,1.971,0.128,
57,76.468,2.063,175365.649,1.845,-0.014,-1067.21,-0.331,666.759,0.206,-0.126,1.36,0,0,150882,,,,,303,2.073,0.228,
58,76.145,1.74,174288.208,1.817,-0.042,-1087.664,-0.649,652.393,0.183,-0.466,1.361,0,0,151134,,,,,302,2.186,0.369,
59,76.168,1.763,173190.337,1.765,-0.058,-1108.067,-0.819,629.887,0.147,-0.672,1.363,0,0,151312,,,,,301,2.294,0.529,
60,76.468,2.063,172072.094,1.706,-0.056,-1128.408,-0.781,605.031,0.107,-0.674,1.366,0,0,151418,,,,,300,2.391,0.685,
61,75.384,0.979,170933.546,1.659,-0.035,-1148.675,-0.551,584.495,0.075,-0.476,1.368,0,0,151798,,,,,299,2.48,0.821,
62,76.375,1.97,169774.772,1.639,-0.004,-1168.857,-0.213,573.421,0.057,-0.155,1.369,0,0,151984,,,,,298,2.572,0.933,
63,75.545,1.14,168595.865,1.651,0.027,-1188.941,0.119,573.587,0.057,0.176,1.369,0,0,152120,,,,,297,2.671,1.02,
64,76.076,1.67,167396.927,1.691,0.05,-1208.915,0.352,583.151,0.072,0.424,1.368,0,0,152364,,,,,296,2.769,1.078,
65,76.591,2.186,166178.075,1.747,0.06,-1228.767,0.452,598.118,0.095,0.548,1.366,0,0,152304,,,,,295,2.853,1.106,
66,76.076,1.67,164939.438,1.807,0.06,-1248.484,0.434,614.309,0.121,0.554,1.365,0,0,152400,,,,,294,2.906,1.099,
67,75.829,1.424,163681.157,1.863,0.051,-1268.052,0.327,628.421,0.143,0.47,1.363,0,0,152344,,,,,293,2.919,1.056,
68,76.813,2.408,162403.388,1.907,0.036,-1287.457,0.164,638.171,0.158,0.323,1.363,0,0,152326,,,,,292,2.903,0.996,
69,76.591,2.186,161106.301,1.935,0.02,-1306.688,-0.009,642.461,0.165,0.156,1.362,0,0,152104,,,,,291,2.878,0.943,
70,76.022,1.617,159790.076,1.949,0.008,-1325.729,-0.145,641.726,0.164,0.019,1.362,0,0,151906,,,,,290,2.869,0.92,
71,76.445,2.039,158454.91,1.953,0.002,-1344.567,-0.215,637.723,0.157,-0.058,1.363,0,0,151568,,,,,289,2.888,0.935,
72,76.283,1.878,157101.015,1.954,0.001,-1363.187,-0.225,632.547,0.148,-0.076,1.363,0,0,151498,,,,,288,2.928,0.974,
73,76.583,2.178,155728.614,1.956,0.004,-1381.575,-0.198,627.74,0.14,-0.057,1.364,0,0,151230,,,,,287,2.973,1.017,
74,76.114,1.709,154337.947,1.962,0.009,-1399.717,-0.156,624.098,0.134,-0.022,1.364,0,0,150700,,,,,286,3.007,1.045,
