rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11096,1,1,360,6,360,0,0,0,42,136,163.8,0.29,35,110.96,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,76.037,1.379,204502.326,1.907,-0.021,-16.785,-0.282,642.523,0.213,-0.069,1.362,6.499,301.968,127922,62.979,168.957,,,359,1.907,0,6.448284916
2,76.96,2.302,204477.146,1.881,-0.029,-33.576,-0.389,633.64,0.196,-0.193,1.363,0,0,128342,,,,,358,1.868,-0.013,
3,76.383,1.725,204435.17,1.852,-0.028,-50.379,-0.374,623.747,0.177,-0.197,1.364,0,0,128400,,,,,357,1.813,-0.039,
4,76.46,1.802,204376.383,1.827,-0.021,-67.198,-0.288,615.236,0.161,-0.127,1.365,0,0,128556,,,,,356,1.767,-0.06,
5,76.398,1.741,204300.766,1.811,-0.011,-84.041,-0.152,609.583,0.15,-0.002,1.365,0,0,128616,,,,,355,1.75,-0.061,
6,76.421,1.764,204208.291,1.807,0.004,-100.913,0.031,608.013,0.147,0.178,1.365,0,0,128896,,,,,354,1.765,-0.042,
7,76.568,1.91,204098.929,1.819,0.021,-117.818,0.252,611.678,0.154,0.406,1.365,0,0,128440,,,,,353,1.8,-0.019,
8,76.229,1.572,203972.642,1.848,0.038,-134.763,0.471,621.144,0.172,0.643,1.364,0,0,128448,,,,,352,1.837,-0.011,
9,76.667,2.01,203829.388,1.892,0.048,-151.753,0.603,635.348,0.199,0.802,1.363,0,0,128032,,,,,351,1.867,-0.025,
10,76.291,1.633,203669.12,1.939,0.043,-168.793,0.545,650.722,0.229,0.774,1.361,0,0,128182,,,,,350,1.89,-0.049,
11,77.09,2.433,203491.784,1.973,0.021,-185.888,0.247,661.578,0.251,0.497,1.36,0,0,127688,,,,,349,1.911,-0.062,
12,76.683,2.025,203297.324,1.978,-0.014,-203.044,-0.218,662.42,0.252,0.034,1.36,0,0,127478,,,,,348,1.933,-0.045,
13,76.829,2.171,203085.675,1.946,-0.047,-220.264,-0.66,651.177,0.23,-0.43,1.361,0,0,127854,,,,,347,1.949,0.003,
14,76.667,2.01,202856.772,1.888,-0.064,-237.554,-0.875,631.095,0.191,-0.684,1.363,0,0,127200,,,,,346,1.951,0.063,
15,76.437,1.779,202610.542,1.825,-0.058,-254.918,-0.789,609.317,0.149,-0.641,1.365,0,0,127106,,,,,345,1.929,0.104,
16,75.745,1.087,202346.91,1.778,-0.036,-272.361,-0.502,592.739,0.117,-0.385,1.367,0,0,126904,,,,,344,1.886,0.108,
17,76.529,1.871,202065.793,1.755,-0.011,-289.885,-0.186,584.367,0.101,-0.085,1.368,0,0,126702,,,,,343,1.835,0.08,
18,76.598,1.941,201767.11,1.755,0.008,-307.496,0.062,583.315,0.099,0.161,1.368,0,0,126740,,,,,342,1.795,0.04,
19,76.744,2.087,201450.771,1.772,0.026,-325.197,0.277,587.983,0.108,0.385,1.367,0,0,126118,,,,,341,1.777,0.005,
20,76.068,1.41,201116.685,1.806,0.045,-342.99,0.519,598.444,0.128,0.646,1.366,0,0,126236,,,,,340,1.777,-0.029,
21,75.96,1.302,200764.759,1.86,0.062,-360.88,0.745,615.221,0.16,0.905,1.365,0,0,125984,,,,,339,1.785,-0.075,
22,76.867,2.21,200394.893,1.928,0.069,-378.868,0.831,636.351,0.201,1.032,1.363,0,0,125606,,,,,338,1.793,-0.135,
23,76.99,2.333,200006.99,1.994,0.061,-396.957,0.716,657.007,0.241,0.957,1.361,0,0,125500,,,,,337,1.795,-0.199,
24,76.767,2.11,199600.945,2.046,0.044,-415.15,0.499,672.895,0.272,0.772,1.359,0,0,125134,,,,,336,1.792,-0.254,
25,76.86,2.202,199176.655,2.084,0.035,-433.448,0.37,683.897,0.294,0.664,1.358,0,0,125198,,,,,335,1.788,-0.296,
26,76.491,1.833,198734.014,2.12,0.039,-451.853,0.426,693.963,0.314,0.74,1.358,0,0,124816,,,,,334,1.786,-0.334,
27,76.521,1.864,198272.913,2.165,0.051,-470.366,0.578,707.121,0.34,0.918,1.356,0,0,124696,,,,,333,1.791,-0.374,
