rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11097,1,1,360,3,360,0,0,0,42,136,163.8,0.29,35,110.97,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,78.067,1.77,204502.326,1.843,0.015,-16.785,0.192,620.953,0.172,0.364,1.364,6.73,312.719,127720,66.734,171.819,,,359,1.799,-0.044,6.725078212
2,78.305,2.008,204477.146,1.853,0.006,-33.576,0.073,624.293,0.178,0.251,1.364,0,0,128080,,,,,358,1.774,-0.079,
3,78.236,1.939,204435.17,1.856,0,-50.379,-0.006,625.044,0.18,0.173,1.364,0,0,127762,,,,,357,1.755,-0.101,
4,77.682,1.385,204376.383,1.854,-0.004,-67.198,-0.058,624.274,0.178,0.12,1.364,0,0,127956,,,,,356,1.747,-0.107,
5,78.451,2.154,204300.766,1.848,-0.009,-84.041,-0.13,622.097,0.174,0.044,1.364,0,0,128166,,,,,355,1.749,-0.099,
6,78.336,2.039,204208.291,1.835,-0.018,-100.913,-0.248,617.485,0.165,-0.083,1.365,0,0,127898,,,,,354,1.763,-0.072,
7,77.974,1.678,204098.929,1.813,-0.027,-117.818,-0.369,609.618,0.15,-0.219,1.365,0,0,128400,,,,,353,1.789,-0.024,
8,78.074,1.778,203972.642,1.784,-0.029,-134.763,-0.4,599.524,0.13,-0.27,1.366,0,0,127986,,,,,352,1.821,0.037,
9,78.097,1.801,203829.388,1.759,-0.018,-151.753,-0.26,590.663,0.113,-0.147,1.367,0,0,128314,,,,,351,1.853,0.094,
10,78.159,1.862,203669.12,1.752,0.006,-168.793,0.059,587.824,0.108,0.166,1.367,0,0,128074,,,,,350,1.878,0.126,
