rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11085,1,1,360,4,360,0,0,0,42,136,163.8,0.29,35,110.85,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
40,78.274,2.214,190549.496,1.854,0.031,-720.803,0.262,582.094,0.094,0.356,1.368,0,0,125020,,,,,320,1.838,-0.016,
41,78.528,2.468,189818.721,1.881,0.018,-740.761,0.102,588.077,0.105,0.207,1.367,0,0,124982,,,,,319,1.808,-0.073,
42,77.882,1.822,189067.947,1.889,0,-760.802,-0.128,588.501,0.106,-0.022,1.367,0,0,125132,,,,,318,1.745,-0.144,
43,77.69,1.63,188297.091,1.882,-0.012,-780.922,-0.266,583.85,0.097,-0.17,1.368,0,0,125094,,,,,317,1.662,-0.22,
44,77.851,1.791,187506.078,1.87,-0.011,-801.115,-0.264,577.56,0.084,-0.18,1.368,0,0,125212,,,,,316,1.586,-0.284,
45,77.859,1.799,186694.838,1.862,-0.005,-821.376,-0.192,572.543,0.075,-0.117,1.369,0,0,125404,,,,,315,1.551,-0.311,
46,78.251,2.191,185863.306,1.86,0,-841.698,-0.136,569.372,0.068,-0.068,1.369,0,0,125220,,,,,314,1.576,-0.284,
47,77.705,1.645,185011.423,1.86,0.001,-862.076,-0.133,566.985,0.063,-0.07,1.369,0,0,125772,,,,,313,1.661,-0.199,
48,77.913,1.853,184139.138,1.859,-0.003,-882.502,-0.176,564.052,0.058,-0.118,1.37,0,0,126140,,,,,312,1.787,-0.072,
49,77.79,1.73,183246.405,1.854,-0.008,-902.97,-0.233,559.75,0.049,-0.184,1.37,0,0,126096,,,,,311,1.926,0.072,
50,78.351,2.291,182333.187,1.845,-0.009,-923.471,-0.253,554.287,0.038,-0.215,1.371,0,0,126412,,,,,310,2.053,0.208,
51,77.682,1.622,181399.454,1.838,-0.003,-943.998,-0.184,549.339,0.028,-0.156,1.371,0,0,126742,,,,,309,2.157,0.319,
52,77.874,1.814,180445.185,1.841,0.01,-964.543,-0.035,547.38,0.024,-0.011,1.371,0,0,126612,,,,,308,2.24,0.399,
53,77.528,1.469,179470.366,1.859,0.023,-985.096,0.097,549.508,0.028,0.125,1.371,0,0,127180,,,,,307,2.309,0.45,
54,77.89,1.83,178474.993,1.883,0.022,-1005.649,0.087,553.573,0.036,0.123,1.371,0,0,126916,,,,,306,2.378,0.495,
55,78.482,2.422,177459.071,1.899,0.007,-1026.192,-0.093,555.078,0.038,-0.054,1.37,0,0,127500,,,,,305,2.461,0.562,
56,78.305,2.245,176422.615,1.895,-0.014,-1046.716,-0.329,550.687,0.03,-0.3,1.371,0,0,127634,,,,,304,2.57,0.675,
57,77.444,1.384,175365.649,1.873,-0.026,-1067.21,-0.461,541.094,0.011,-0.45,1.372,0,0,127542,,,,,303,2.709,0.836,
58,78.159,2.099,174288.208,1.847,-0.023,-1087.664,-0.426,530.276,-0.011,-0.437,1.373,0,0,127924,,,,,302,2.874,1.027,
59,77.39,1.33,173190.337,1.829,-0.013,-1108.067,-0.314,521.802,-0.027,-0.341,1.374,0,0,127944,,,,,301,3.052,1.223,
60,77.874,1.814,172072.094,1.82,-0.008,-1128.408,-0.266,515.801,-0.039,-0.306,1.374,0,0,128102,,,,,300,3.233,1.413,
61,78.497,2.437,170933.546,1.809,-0.016,-1148.675,-0.346,509.355,-0.052,-0.398,1.375,0,0,127878,,,,,299,3.411,1.602,
