rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11108,1,1,360,2,360,0,0,0,42,136,163.8,0.29,35,111.08,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
1,77.321,1.176,204502.326,1.73,-0.028,-16.785,-0.369,582.872,0.098,-0.27,1.368,5.914,275.057,127982,58.936,176.952,,,359,1.82,0.09,5.841351955
2,77.913,1.768,204477.146,1.714,-0.006,-33.576,-0.081,577.232,0.088,0.007,1.368,0,0,128446,,,,,358,1.869,0.155,
3,77.936,1.791,204435.17,1.717,0.01,-50.379,0.129,578.236,0.089,0.218,1.368,0,0,128232,,,,,357,1.904,0.187,
4,78.236,2.09,204376.383,1.733,0.021,-67.198,0.268,583.513,0.1,0.368,1.368,0,0,128392,,,,,356,1.929,0.196,
5,77.559,1.414,204300.766,1.76,0.034,-84.041,0.434,592.405,0.117,0.551,1.367,0,0,128218,,,,,355,1.951,0.191,
6,77.974,1.829,204208.291,1.803,0.053,-100.913,0.671,606.529,0.144,0.815,1.366,0,0,128722,,,,,354,1.976,0.173,
7,77.551,1.406,204098.929,1.864,0.069,-117.818,0.884,626.838,0.183,1.067,1.364,0,0,128200,,,,,353,2.002,0.138,
8,78.259,2.113,203972.642,1.936,0.07,-134.763,0.906,650.49,0.229,1.134,1.361,0,0,128252,,,,,352,2.022,0.086,
9,78.374,2.229,203829.388,1.999,0.051,-151.753,0.652,671.094,0.269,0.921,1.36,0,0,128298,,,,,351,2.027,0.028,
10,78.466,2.321,203669.12,2.034,0.018,-168.793,0.212,682.426,0.291,0.504,1.359,0,0,128364,,,,,350,2.017,-0.017,
11,78.266,2.121,203491.784,2.035,-0.014,-185.888,-0.22,682.234,0.291,0.071,1.359,0,0,128562,,,,,349,2.001,-0.034,
