rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11066,1,1,360,5,360,0,0,0,42,136,163.8,0.29,35,110.66,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
1,77.628,1.937,204502.326,1.78,0.008,-16.785,0.097,599.513,0.13,0.227,1.366,6.553,303.621,127970,63.782,169.466,,,359,1.799,0.019,6.489787709
2,77.682,1.991,204477.146,1.792,0.015,-33.576,0.189,603.725,0.138,0.328,1.366,0,0,128108,,,,,358,1.831,0.039,
3,77.521,1.83,204435.17,1.806,0.012,-50.379,0.151,608.368,0.147,0.298,1.365,0,0,128018,,,,,357,1.864,0.058,
4,77.913,2.222,204376.383,1.817,0.01,-67.198,0.12,611.627,0.154,0.273,1.365,0,0,128242,,,,,356,1.892,0.075,
5,77.075,1.384,204300.766,1.829,0.017,-84.041,0.21,615.522,0.161,0.371,1.365,0,0,128450,,,,,355,1.913,0.084,
6,77.252,1.561,204208.291,1.852,0.03,-100.913,0.377,623.115,0.176,0.553,1.364,0,0,128428,,,,,354,1.928,0.076,
7,77.551,1.861,204098.929,1.887,0.036,-117.818,0.46,634.398,0.198,0.658,1.363,0,0,128712,,,,,353,1.935,0.048,
8,77.959,2.268,203972.642,1.921,0.029,-134.763,0.359,645.504,0.219,0.578,1.362,0,0,127976,,,,,352,1.931,0.01,
9,77.936,2.245,203829.388,1.942,0.012,-151.753,0.138,652.09,0.232,0.37,1.361,0,0,127912,,,,,351,1.915,-0.027,
10,77.482,1.791,203669.12,1.947,0,-168.793,-0.035,653.219,0.234,0.199,1.361,0,0,128978,,,,,350,1.889,-0.058,
11,77.528,1.837,203491.784,1.944,-0.002,-185.888,-0.057,651.806,0.231,0.175,1.361,0,0,125936,,,,,349,1.856,-0.088,
12,77.382,1.691,203297.324,1.946,0.005,-203.044,0.037,651.622,0.231,0.268,1.361,0,0,128856,,,,,348,1.816,-0.13,
13,77.844,2.153,203085.675,1.955,0.012,-220.264,0.122,654.086,0.236,0.358,1.361,0,0,126926,,,,,347,1.778,-0.177,
14,77.759,2.068,202856.772,1.967,0.01,-237.554,0.088,657.404,0.242,0.33,1.361,0,0,126916,,,,,346,1.751,-0.216,
15,77.59,1.899,202610.542,1.971,-0.005,-254.918,-0.105,657.856,0.243,0.138,1.361,0,0,128198,,,,,345,1.746,-0.225,
16,77.575,1.884,202346.91,1.955,-0.028,-272.361,-0.414,651.768,0.231,-0.183,1.361,0,0,126170,,,,,344,1.769,-0.186,
17,77.982,2.291,202065.793,1.915,-0.052,-289.885,-0.722,637.466,0.203,-0.519,1.363,0,0,128516,,,,,343,1.811,-0.104,
18,77.813,2.122,201767.11,1.856,-0.064,-307.496,-0.877,616.803,0.163,-0.714,1.365,0,0,125984,,,,,342,1.853,-0.003,
19,77.221,1.53,201450.771,1.793,-0.057,-325.197,-0.779,595.168,0.121,-0.657,1.367,0,0,127112,,,,,341,1.878,0.085,
20,76.867,1.176,201116.685,1.748,-0.031,-342.99,-0.444,579.259,0.091,-0.353,1.368,0,0,126862,,,,,340,1.878,0.13,
21,77.621,1.93,200764.759,1.735,0.004,-360.88,0,573.818,0.08,0.08,1.369,0,0,125728,,,,,339,1.858,0.123,
22,77.513,1.822,200394.893,1.756,0.035,-378.868,0.389,579.57,0.091,0.48,1.368,0,0,127128,,,,,338,1.832,0.076,
23,77.359,1.668,200006.99,1.8,0.051,-396.957,0.589,593.21,0.117,0.707,1.367,0,0,125068,,,,,337,1.814,0.014,
24,77.075,1.384,199600.945,1.851,0.047,-415.15,0.538,608.812,0.147,0.685,1.365,0,0,126704,,,,,336,1.812,-0.039,
25,78.259,2.568,199176.655,1.89,0.027,-433.448,0.274,620.102,0.169,0.443,1.364,0,0,124896,,,,,335,1.824,-0.066,
26,77.913,2.222,198734.014,1.904,0.001,-451.853,-0.061,623.256,0.175,0.114,1.364,0,0,125148,,,,,334,1.843,-0.061,
27,77.421,1.73,198272.913,1.894,-0.017,-470.366,-0.299,618.72,0.166,-0.133,1.364,0,0,125886,,,,,333,1.857,-0.037,
28,77.375,1.684,197793.246,1.873,-0.023,-488.988,-0.374,610.214,0.15,-0.224,1.365,0,0,124014,,,,,332,1.859,-0.014,
29,77.159,1.468,197294.901,1.851,-0.021,-507.72,-0.343,601.467,0.133,-0.21,1.366,0,0,125654,,,,,331,1.847,-0.004,
30,78.19,2.499,196777.77,1.832,-0.018,-526.561,-0.305,593.823,0.118,-0.187,1.367,0,0,124210,,,,,330,1.826,-0.006,
31,77.321,1.63,196241.743,1.815,-0.016,-545.512,-0.285,586.84,0.104,-0.181,1.367,0,0,125068,,,,,329,1.804,-0.011,
32,77.359,1.668,195686.709,1.801,-0.012,-564.573,-0.24,580.496,0.092,-0.148,1.368,0,0,124716,,,,,328,1.789,-0.012,
33,77.575,1.884,195112.561,1.792,-0.003,-583.741,-0.128,576.158,0.084,-0.045,1.368,0,0,124386,,,,,327,1.783,-0.009,
34,77.313,1.622,194519.191,1.796,0.01,-603.017,0.026,575.452,0.082,0.108,1.368,0,0,125032,,,,,326,1.782,-0.014,
35,77.321,1.63,193906.492,1.812,0.021,-622.398,0.16,578.686,0.088,0.248,1.368,0,0,124218,,,,,325,1.781,-0.031,
36,77.874,2.183,193274.36,1.836,0.027,-641.883,0.229,584.61,0.099,0.329,1.368,0,0,125082,,,,,324,1.776,-0.06,
37,77.375,1.684,192622.693,1.864,0.028,-661.469,0.236,591.46,0.112,0.348,1.367,0,0,124376,,,,,323,1.761,-0.103,
38,77.667,1.976,191951.39,1.891,0.025,-681.153,0.198,597.88,0.125,0.323,1.366,0,0,125136,,,,,322,1.736,-0.155,
39,77.559,1.868,191260.356,1.913,0.019,-700.932,0.116,602.827,0.134,0.25,1.366,0,0,124822,,,,,321,1.709,-0.204,
40,77.421,1.73,190549.496,1.927,0.008,-720.803,-0.022,605.017,0.138,0.116,1.366,0,0,124464,,,,,320,1.69,-0.237,
41,78.143,2.452,189818.721,1.928,-0.007,-740.761,-0.206,603.018,0.134,-0.072,1.366,0,0,125458,,,,,319,1.692,-0.236,
42,77.59,1.899,189067.947,1.914,-0.021,-760.802,-0.383,596.2,0.121,-0.263,1.367,0,0,124330,,,,,318,1.721,-0.193,
43,77.152,1.461,188297.091,1.888,-0.03,-780.922,-0.485,585.614,0.1,-0.384,1.368,0,0,125238,,,,,317,1.777,-0.111,
44,78.059,2.368,187506.078,1.858,-0.029,-801.115,-0.47,573.846,0.077,-0.393,1.369,0,0,125208,,,,,316,1.853,-0.005,
45,77.39,1.699,186694.838,1.833,-0.019,-821.376,-0.36,563.806,0.058,-0.302,1.37,0,0,125218,,,,,315,1.935,0.102,
46,76.937,1.246,185863.306,1.82,-0.007,-841.698,-0.217,557.258,0.045,-0.172,1.37,0,0,125900,,,,,314,2.002,0.182,
47,77.936,2.245,185011.423,1.818,0.003,-862.076,-0.106,554.148,0.039,-0.068,1.371,0,0,125292,,,,,313,2.037,0.219,
48,77.482,1.791,184139.138,1.824,0.009,-882.502,-0.039,553.319,0.037,-0.002,1.371,0,0,126466,,,,,312,2.038,0.214,
49,77.667,1.976,183246.405,1.835,0.014,-902.97,0.024,554.038,0.038,0.062,1.371,0,0,125802,,,,,311,2.022,0.187,
50,77.075,1.384,182333.187,1.854,0.024,-923.471,0.127,556.868,0.043,0.17,1.37,0,0,126440,,,,,310,2.014,0.16,
51,78.044,2.353,181399.454,1.884,0.036,-943.998,0.259,562.913,0.055,0.313,1.37,0,0,126574,,,,,309,2.03,0.146,
52,77.044,1.353,180445.185,1.925,0.045,-964.543,0.355,572.186,0.072,0.428,1.369,0,0,126816,,,,,308,2.069,0.144,
53,77.867,2.176,179470.366,1.971,0.046,-985.096,0.361,582.89,0.093,0.453,1.368,0,0,127204,,,,,307,2.121,0.15,
54,77.774,2.083,178474.993,2.015,0.041,-1005.649,0.286,592.57,0.111,0.397,1.367,0,0,126940,,,,,306,2.185,0.17,
55,78.336,2.645,177459.071,2.052,0.033,-1026.192,0.193,599.916,0.126,0.319,1.366,0,0,127638,,,,,305,2.273,0.221,
56,77.029,1.338,176422.615,2.082,0.027,-1046.716,0.119,605.144,0.136,0.254,1.366,0,0,127142,,,,,304,2.403,0.321,
57,77.667,1.976,175365.649,2.107,0.021,-1067.21,0.037,608.577,0.142,0.179,1.365,0,0,127880,,,,,303,2.583,0.476,
58,78.351,2.66,174288.208,2.123,0.01,-1087.664,-0.091,609.429,0.144,0.053,1.365,0,0,127774,,,,,302,2.797,0.674,
