rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11077,1,1,360,1,360,0,0,0,42,136,163.8,0.29,35,110.77,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi(bar)
1,77.605,2.166,204502.326,1.78,-0.037,-16.785,-0.49,599.615,0.13,-0.36,1.366,6.159,285.664,128168,61.8,176.731,,,359,1.824,0.044,6.127486034
2,76.921,1.482,204477.146,1.741,-0.038,-33.576,-0.497,586.482,0.105,-0.392,1.367,0,0,128172,,,,,358,1.811,0.07,
3,77.152,1.712,204435.17,1.707,-0.029,-50.379,-0.386,574.947,0.083,-0.303,1.369,0,0,128490,,,,,357,1.776,0.069,
4,76.714,1.274,204376.383,1.683,-0.02,-67.198,-0.265,566.7,0.067,-0.198,1.369,0,0,128470,,,,,356,1.733,0.05,
5,77.482,2.043,204300.766,1.667,-0.014,-84.041,-0.199,560.939,0.056,-0.143,1.37,0,0,128610,,,,,355,1.698,0.031,
6,77.329,1.889,204208.291,1.654,-0.011,-100.913,-0.162,556.312,0.048,-0.114,1.37,0,0,128794,,,,,354,1.684,0.03,
7,76.744,1.305,204098.929,1.645,-0.005,-117.818,-0.077,553.068,0.041,-0.035,1.371,0,0,128392,,,,,353,1.692,0.047,
8,77.098,1.658,203972.642,1.646,0.009,-134.763,0.091,553.157,0.042,0.132,1.371,0,0,128632,,,,,352,1.712,0.066,
9,76.813,1.374,203829.388,1.663,0.024,-151.753,0.288,558.269,0.051,0.339,1.37,0,0,128504,,,,,351,1.726,0.063,
10,77.329,1.889,203669.12,1.693,0.035,-168.793,0.422,567.941,0.07,0.491,1.369,0,0,128568,,,,,350,1.72,0.027,
11,77.306,1.866,203491.784,1.729,0.035,-185.888,0.425,579.454,0.092,0.516,1.368,0,0,128638,,,,,349,1.701,-0.028,
12,76.844,1.405,203297.324,1.759,0.025,-203.044,0.289,589.188,0.11,0.399,1.367,0,0,128080,,,,,348,1.684,-0.075,
13,77.782,2.343,203085.675,1.775,0.006,-220.264,0.048,593.967,0.119,0.168,1.367,0,0,128304,,,,,347,1.68,-0.095,
14,76.921,1.482,202856.772,1.771,-0.015,-237.554,-0.235,591.842,0.115,-0.119,1.367,0,0,127820,,,,,346,1.686,-0.085,
15,77.298,1.858,202610.542,1.746,-0.033,-254.918,-0.462,582.854,0.098,-0.364,1.368,0,0,127582,,,,,345,1.685,-0.061,
16,77.482,2.043,202346.91,1.71,-0.037,-272.361,-0.514,569.915,0.073,-0.441,1.369,0,0,127478,,,,,344,1.664,-0.046,
17,76.975,1.535,202065.793,1.678,-0.022,-289.885,-0.328,558.62,0.052,-0.277,1.37,0,0,126592,,,,,343,1.625,-0.053,
18,76.667,1.228,201767.11,1.669,0.005,-307.496,0.025,554.724,0.044,0.069,1.37,0,0,127102,,,,,342,1.584,-0.085,
19,76.867,1.428,201450.771,1.688,0.031,-325.197,0.35,560.309,0.055,0.405,1.37,0,0,126346,,,,,341,1.558,-0.13,
20,77.136,1.697,201116.685,1.726,0.04,-342.99,0.46,571.931,0.077,0.537,1.369,0,0,126068,,,,,340,1.559,-0.167,
21,78.113,2.673,200764.759,1.763,0.029,-360.88,0.32,582.955,0.098,0.417,1.368,0,0,126354,,,,,339,1.587,-0.176,
22,76.767,1.328,200394.893,1.782,0.01,-378.868,0.064,588.312,0.108,0.172,1.367,0,0,125586,,,,,338,1.637,-0.145,
23,77.29,1.851,200006.99,1.783,-0.005,-396.957,-0.128,587.504,0.106,-0.022,1.367,0,0,125828,,,,,337,1.7,-0.083,
24,77.236,1.797,199600.945,1.775,-0.008,-415.15,-0.17,583.684,0.099,-0.072,1.368,0,0,125228,,,,,336,1.763,-0.012,
25,77.075,1.635,199176.655,1.769,-0.003,-433.448,-0.104,580.448,0.093,-0.011,1.368,0,0,125248,,,,,335,1.811,0.042,
26,77.221,1.781,198734.014,1.77,0.004,-451.853,-0.021,579.412,0.091,0.07,1.368,0,0,125602,,,,,334,1.833,0.063,
27,77.229,1.789,198272.913,1.776,0.007,-470.366,0.014,579.997,0.092,0.106,1.368,0,0,125280,,,,,333,1.831,0.055,
28,77.213,1.774,197793.246,1.782,0.006,-488.988,0.001,580.795,0.093,0.094,1.368,0,0,125144,,,,,332,1.813,0.031,
29,77.321,1.881,197294.901,1.788,0.005,-507.72,-0.016,581.07,0.093,0.077,1.368,0,0,124986,,,,,331,1.796,0.008,
30,77.359,1.92,196777.77,1.793,0.006,-526.561,-0.007,581.221,0.094,0.087,1.368,0,0,125160,,,,,330,1.793,0,
31,76.813,1.374,196241.743,1.8,0.008,-545.512,0.011,581.886,0.095,0.106,1.368,0,0,124638,,,,,329,1.811,0.011,
