rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
15011,1,1,360,4,360,0,0,0,42,136,163.8,1.2,33.5,150.11,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,80.773,3.136,204502.326,3.223,0.014,-16.785,0.177,640.122,0.354,0.531,1.362,11.889,747.237,93766,109.115,147.846,,,359,3.158,-0.065,10.9039162
2,81.095,3.459,204477.146,3.224,-0.012,-33.576,-0.164,640.295,0.355,0.191,1.362,0,0,93970,,,,,358,3.113,-0.111,
3,81.188,3.552,204435.17,3.201,-0.032,-50.379,-0.432,635.638,0.339,-0.093,1.363,0,0,94174,,,,,357,3.078,-0.123,
4,80.703,3.067,204376.383,3.166,-0.035,-67.198,-0.474,628.447,0.316,-0.158,1.363,0,0,93912,,,,,356,3.061,-0.105,
5,80.68,3.044,204300.766,3.138,-0.018,-84.041,-0.26,622.652,0.297,0.037,1.364,0,0,93998,,,,,355,3.064,-0.074,
6,80.027,2.391,204208.291,3.132,0.006,-100.913,0.053,621.226,0.292,0.345,1.364,0,0,94240,,,,,354,3.076,-0.056,
7,80.965,3.329,204098.929,3.147,0.019,-117.818,0.218,623.8,0.3,0.518,1.364,0,0,94182,,,,,353,3.074,-0.073,
8,81.341,3.705,203972.642,3.163,0.01,-134.763,0.09,626.745,0.31,0.4,1.364,0,0,93950,,,,,352,3.041,-0.122,
9,80.857,3.221,203829.388,3.161,-0.018,-151.753,-0.277,625.729,0.307,0.03,1.364,0,0,93730,,,,,351,2.974,-0.187,
10,80.65,3.013,203669.12,3.127,-0.048,-168.793,-0.677,618.576,0.283,-0.394,1.364,0,0,93812,,,,,350,2.887,-0.24,
11,80.726,3.09,203491.784,3.069,-0.064,-185.888,-0.89,606.502,0.243,-0.646,1.366,0,0,93946,,,,,349,2.804,-0.265,
12,81.08,3.444,203297.324,3.006,-0.056,-203.044,-0.783,593.505,0.201,-0.582,1.367,0,0,93352,,,,,348,2.749,-0.257,
13,80.035,2.398,203085.675,2.963,-0.024,-220.264,-0.373,584.554,0.172,-0.201,1.368,0,0,92934,,,,,347,2.735,-0.228,
14,80.265,2.629,202856.772,2.96,0.019,-237.554,0.179,583.276,0.168,0.346,1.368,0,0,93516,,,,,346,2.762,-0.198,
15,80.365,2.729,202610.542,2.999,0.055,-254.918,0.64,590.091,0.19,0.83,1.367,0,0,93800,,,,,345,2.817,-0.182,
16,81.111,3.475,202346.91,3.063,0.07,-272.361,0.84,602.084,0.229,1.068,1.366,0,0,93134,,,,,344,2.883,-0.18,
17,80.826,3.19,202065.793,3.133,0.064,-289.885,0.753,614.809,0.27,1.023,1.365,0,0,92752,,,,,343,2.94,-0.193,
18,81.042,3.406,201767.11,3.187,0.043,-307.496,0.469,624.534,0.302,0.771,1.364,0,0,93238,,,,,342,2.975,-0.212,
19,80.48,2.844,201450.771,3.215,0.014,-325.197,0.09,629.166,0.317,0.407,1.363,0,0,93222,,,,,341,2.983,-0.232,
20,81.049,3.413,201116.685,3.214,-0.017,-342.99,-0.312,627.879,0.313,0.001,1.364,0,0,92936,,,,,340,2.964,-0.25,
21,81.357,3.721,200764.759,3.184,-0.043,-360.88,-0.654,620.862,0.29,-0.364,1.364,0,0,92918,,,,,339,2.924,-0.26,
22,80.596,2.96,200394.893,3.133,-0.056,-378.868,-0.821,609.795,0.253,-0.568,1.365,0,0,93340,,,,,338,2.875,-0.258,
23,80.58,2.944,200006.99,3.079,-0.049,-396.957,-0.728,598.061,0.215,-0.513,1.366,0,0,93250,,,,,337,2.832,-0.247,
24,80.588,2.952,199600.945,3.042,-0.023,-415.15,-0.397,589.672,0.187,-0.209,1.367,0,0,92788,,,,,336,2.81,-0.232,
25,80.234,2.598,199176.655,3.036,0.012,-433.448,0.043,587.415,0.18,0.223,1.367,0,0,92784,,,,,335,2.809,-0.227,
26,80.826,3.19,198734.014,3.065,0.044,-451.853,0.433,591.705,0.194,0.627,1.367,0,0,93368,,,,,334,2.818,-0.247,
27,81.095,3.459,198272.913,3.12,0.062,-470.366,0.659,600.796,0.223,0.883,1.366,0,0,93274,,,,,333,2.82,-0.3,
28,80.134,2.498,197793.246,3.184,0.064,-488.988,0.675,611.749,0.259,0.934,1.365,0,0,92848,,,,,332,2.802,-0.382,
29,81.257,3.621,197294.901,3.242,0.05,-507.72,0.486,621.357,0.291,0.776,1.364,0,0,92742,,,,,331,2.762,-0.48,
30,81.326,3.69,196777.77,3.28,0.024,-526.561,0.151,626.905,0.309,0.46,1.364,0,0,92778,,,,,330,2.703,-0.577,
31,80.75,3.113,196241.743,3.289,-0.004,-545.512,-0.213,627.005,0.309,0.096,1.364,0,0,92552,,,,,329,2.633,-0.656,
32,80.934,3.298,195686.709,3.274,-0.024,-564.573,-0.469,622.242,0.293,-0.176,1.364,0,0,92516,,,,,328,2.559,-0.715,
33,81.195,3.559,195112.561,3.245,-0.029,-583.741,-0.529,615.031,0.269,-0.26,1.365,0,0,92390,,,,,327,2.485,-0.76,
34,80.58,2.944,194519.191,3.22,-0.02,-603.017,-0.422,608.328,0.247,-0.175,1.365,0,0,92182,,,,,326,2.419,-0.801,
35,80.388,2.752,193906.492,3.205,-0.01,-622.398,-0.304,603.649,0.231,-0.073,1.366,0,0,92098,,,,,325,2.364,-0.841,
36,81.103,3.467,193274.36,3.194,-0.016,-641.883,-0.373,599.641,0.218,-0.155,1.366,0,0,92416,,,,,324,2.327,-0.867,
37,80.995,3.359,192622.693,3.167,-0.044,-661.469,-0.726,592.472,0.194,-0.532,1.367,0,0,92240,,,,,323,2.311,-0.856,
38,80.988,3.352,191951.39,3.101,-0.089,-681.153,-1.264,578.196,0.147,-1.117,1.368,0,0,92028,,,,,322,2.316,-0.785,
39,80.919,3.283,191260.356,2.991,-0.128,-700.932,-1.735,555.666,0.073,-1.662,1.37,0,0,92316,,,,,321,2.343,-0.648,
40,80.603,2.967,190549.496,2.852,-0.144,-720.803,-1.895,527.826,-0.017,-1.912,1.373,0,0,92220,,,,,320,2.394,-0.458,
41,79.942,2.306,189818.721,2.714,-0.127,-740.761,-1.67,500.34,-0.106,-1.775,1.376,0,0,92042,,,,,319,2.475,-0.239,
42,79.696,2.06,189067.947,2.606,-0.086,-760.802,-1.182,478.556,-0.176,-1.358,1.378,0,0,92222,,,,,318,2.588,-0.018,
43,80.373,2.737,188297.091,2.543,-0.041,-780.922,-0.644,465.054,-0.219,-0.863,1.379,0,0,92176,,,,,317,2.727,0.184,
44,80.288,2.652,187506.078,2.522,-0.004,-801.115,-0.223,459.243,-0.238,-0.461,1.38,0,0,92366,,,,,316,2.879,0.357,
45,79.865,2.229,186694.838,2.529,0.017,-821.376,0.02,458.665,-0.24,-0.221,1.38,0,0,92848,,,,,315,3.032,0.503,
46,79.896,2.26,185863.306,2.552,0.026,-841.698,0.119,460.688,-0.235,-0.116,1.38,0,0,92952,,,,,314,3.185,0.633,
47,81.019,3.382,185011.423,2.58,0.031,-862.076,0.162,463.697,-0.226,-0.064,1.38,0,0,92908,,,,,313,3.345,0.765,
48,79.842,2.206,184139.138,2.614,0.037,-882.502,0.229,467.494,-0.214,0.015,1.379,0,0,93158,,,,,312,3.523,0.909,
49,80.088,2.452,183246.405,2.656,0.048,-902.97,0.338,472.75,-0.198,0.14,1.379,0,0,93572,,,,,311,3.726,1.07,
50,80.373,2.737,182333.187,2.708,0.055,-923.471,0.413,479.665,-0.176,0.236,1.378,0,0,93520,,,,,310,3.951,1.243,
51,80.273,2.637,181399.454,2.763,0.051,-943.998,0.35,486.866,-0.154,0.196,1.377,0,0,93570,,,,,309,4.193,1.43,
52,80.703,3.067,180445.185,2.806,0.032,-964.543,0.13,491.821,-0.139,-0.009,1.377,0,0,93532,,,,,308,4.443,1.637,
53,80.803,3.167,179470.366,2.827,0.01,-985.096,-0.129,492.763,-0.136,-0.265,1.377,0,0,93678,,,,,307,4.688,1.861,
54,80.596,2.96,178474.993,2.83,0,-1005.649,-0.239,490.547,-0.144,-0.383,1.377,0,0,94022,,,,,306,4.917,2.087,
55,79.904,2.268,177459.071,2.834,0.013,-1026.192,-0.101,488.533,-0.151,-0.252,1.377,0,0,93894,,,,,305,5.127,2.293,
56,80.619,2.983,176422.615,2.861,0.042,-1046.716,0.2,490.267,-0.146,0.053,1.377,0,0,93872,,,,,304,5.326,2.465,
57,79.996,2.36,175365.649,2.916,0.065,-1067.21,0.442,496.68,-0.126,0.315,1.376,0,0,94056,,,,,303,5.525,2.609,
58,80.865,3.229,174288.208,2.984,0.065,-1087.664,0.431,505.137,-0.1,0.331,1.375,0,0,94466,,,,,302,5.731,2.747,
59,81.026,3.39,173190.337,3.039,0.04,-1108.067,0.146,511.185,-0.081,0.066,1.375,0,0,94300,,,,,301,5.942,2.903,
60,81.218,3.582,172072.094,3.061,0.004,-1128.408,-0.256,511.573,-0.08,-0.336,1.375,0,0,94194,,,,,300,6.145,3.084,
61,80.304,2.668,170933.546,3.048,-0.025,-1148.675,-0.571,506.127,-0.099,-0.67,1.375,0,0,94312,,,,,299,6.325,3.277,
62,80.496,2.86,169774.772,3.015,-0.038,-1168.857,-0.699,497.205,-0.129,-0.827,1.376,0,0,94390,,,,,298,6.465,3.45,
63,80.972,3.336,168595.865,2.978,-0.035,-1188.941,-0.673,487.638,-0.16,-0.834,1.377,0,0,94416,,,,,297,6.562,3.584,
64,80.096,2.46,167396.927,2.946,-0.028,-1208.915,-0.598,479.016,-0.189,-0.787,1.378,0,0,94448,,,,,296,6.621,3.675,
65,80.757,3.121,166178.075,2.921,-0.023,-1228.767,-0.543,471.46,-0.215,-0.758,1.379,0,0,94512,,,,,295,6.658,3.737,
66,80.803,3.167,164939.438,2.9,-0.02,-1248.484,-0.51,464.521,-0.238,-0.749,1.379,0,0,95024,,,,,294,6.693,3.793,
67,80.142,2.506,163681.157,2.882,-0.014,-1268.052,-0.448,458.224,-0.26,-0.707,1.38,0,0,94842,,,,,293,6.743,3.861,
68,80.603,2.967,162403.388,2.875,0.001,-1287.457,-0.303,453.503,-0.276,-0.579,1.381,0,0,94926,,,,,292,6.814,3.939,
69,80.65,3.013,161106.301,2.887,0.025,-1306.688,-0.069,451.822,-0.283,-0.352,1.381,0,0,94760,,,,,291,6.906,4.019,
70,80.104,2.468,159790.076,2.927,0.054,-1325.729,0.199,454.264,-0.276,-0.077,1.381,0,0,94932,,,,,290,7.013,4.086,
71,80.404,2.767,158454.91,2.994,0.078,-1344.567,0.422,460.753,-0.256,0.166,1.38,0,0,94868,,,,,289,7.131,4.137,
72,81.011,3.375,157101.015,3.08,0.093,-1363.187,0.545,470.047,-0.227,0.318,1.379,0,0,94634,,,,,288,7.25,4.17,
73,81.103,3.467,155728.614,3.177,0.098,-1381.575,0.571,480.497,-0.194,0.377,1.378,0,0,94596,,,,,287,7.358,4.181,
74,80.527,2.89,154337.947,3.274,0.096,-1399.717,0.528,490.798,-0.162,0.366,1.377,0,0,94588,,,,,286,7.448,4.174,
75,80.773,3.136,152929.267,3.367,0.088,-1417.597,0.434,500.076,-0.132,0.302,1.376,0,0,94488,,,,,285,7.52,4.153,
76,81.71,4.074,151502.844,3.449,0.076,-1435.202,0.294,507.586,-0.109,0.185,1.375,0,0,94390,,,,,284,7.587,4.138,
77,80.995,3.359,150058.96,3.518,0.06,-1452.516,0.125,512.691,-0.093,0.032,1.375,0,0,94466,,,,,283,7.664,4.146,
78,81.111,3.475,148597.913,3.57,0.045,-1469.525,-0.034,515.224,-0.086,-0.12,1.374,0,0,94134,,,,,282,7.759,4.189,
79,81.649,4.013,147120.018,3.608,0.033,-1486.212,-0.16,515.582,-0.086,-0.246,1.374,0,0,93780,,,,,281,7.865,4.257,
80,80.865,3.229,145625.601,3.635,0.021,-1502.564,-0.274,514.193,-0.092,-0.366,1.374,0,0,93530,,,,,280,7.966,4.331,
81,81.218,3.582,144115.007,3.65,0.006,-1518.564,-0.421,510.89,-0.104,-0.525,1.375,0,0,93400,,,,,279,8.047,4.397,
82,81.749,4.113,142588.595,3.646,-0.015,-1534.198,-0.612,504.959,-0.126,-0.738,1.375,0,0,93172,,,,,278,8.114,4.468,
83,81.572,3.936,141046.738,3.62,-0.037,-1549.451,-0.803,495.933,-0.157,-0.96,1.376,0,0,92800,,,,,277,8.188,4.568,
84,80.573,2.937,139489.824,3.575,-0.05,-1564.308,-0.914,484.394,-0.198,-1.112,1.377,0,0,92756,,,,,276,8.298,4.723,
85,81.587,3.951,137918.259,3.524,-0.049,-1578.753,-0.893,472.054,-0.24,-1.133,1.379,0,0,92572,,,,,275,8.457,4.933,
86,81.111,3.475,136332.461,3.482,-0.032,-1592.771,-0.742,461.08,-0.279,-1.021,1.38,0,0,92280,,,,,274,8.653,5.171,
87,80.611,2.975,134732.865,3.463,-0.006,-1606.347,-0.521,453.133,-0.307,-0.829,1.381,0,0,92474,,,,,273,8.859,5.396,
88,81.019,3.382,133119.919,3.47,0.02,-1619.467,-0.311,448.707,-0.324,-0.636,1.381,0,0,92508,,,,,272,9.047,5.577,
89,81.38,3.744,131494.089,3.501,0.04,-1632.115,-0.161,447.186,-0.332,-0.493,1.381,0,0,92078,,,,,271,9.204,5.703,
90,81.019,3.382,129855.852,3.549,0.055,-1644.276,-0.059,447.62,-0.332,-0.392,1.381,0,0,91904,,,,,270,9.339,5.79,
91,81.449,3.813,128205.703,3.611,0.07,-1655.937,0.047,449.647,-0.328,-0.281,1.381,0,0,92116,,,,,269,9.463,5.852,
92,81.142,3.505,126544.149,3.691,0.091,-1667.083,0.186,453.662,-0.317,-0.131,1.381,0,0,92100,,,,,268,9.584,5.893,
93,81.111,3.475,124871.714,3.793,0.111,-1677.699,0.315,459.985,-0.298,0.017,1.38,0,0,91878,,,,,267,9.707,5.914,
94,81.403,3.767,123188.933,3.91,0.12,-1687.771,0.353,467.838,-0.274,0.079,1.379,0,0,92000,,,,,266,9.837,5.927,
95,81.941,4.305,121496.357,4.028,0.112,-1697.286,0.26,475.336,-0.251,0.009,1.378,0,0,92154,,,,,265,9.986,5.958,
96,82.31,4.674,119794.551,4.131,0.093,-1706.23,0.09,480.679,-0.236,-0.146,1.378,0,0,92162,,,,,264,10.166,6.035,
97,81.603,3.967,118084.093,4.215,0.077,-1714.589,-0.05,483.469,-0.229,-0.279,1.378,0,0,92236,,,,,263,10.387,6.172,
98,81.71,4.074,116365.573,4.29,0.075,-1722.35,-0.087,484.885,-0.226,-0.313,1.377,0,0,92328,,,,,262,10.643,6.353,
99,82.118,4.482,114639.596,4.37,0.086,-1729.501,-0.033,486.591,-0.223,-0.257,1.377,0,0,92386,,,,,261,10.921,6.551,
