rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
14977,1,1,360,6,360,0,0,0,42,136,163.8,1.2,33.5,149.77,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,79.512,2.678,204502.326,2.943,-0.077,-16.785,-1.007,584.604,0.172,-0.835,1.368,11.779,738.645,94292,111.593,152.746,,,359,3.021,0.078,10.84982682
2,79.873,3.04,204477.146,2.857,-0.091,-33.576,-1.185,567.478,0.117,-1.068,1.369,0,0,94246,,,,,358,2.986,0.129,
3,79.719,2.886,204435.17,2.769,-0.083,-50.379,-1.083,549.77,0.06,-1.023,1.371,0,0,94210,,,,,357,2.911,0.142,
4,79.227,2.394,204376.383,2.697,-0.058,-67.198,-0.758,535.379,0.014,-0.744,1.372,0,0,94406,,,,,356,2.827,0.13,
5,79.327,2.494,204300.766,2.657,-0.022,-84.041,-0.295,527.198,-0.013,-0.308,1.373,0,0,94710,,,,,355,2.766,0.109,
6,79.343,2.509,204208.291,2.654,0.016,-100.913,0.185,526.509,-0.015,0.17,1.373,0,0,94432,,,,,354,2.743,0.089,
7,79.366,2.532,204098.929,2.687,0.047,-117.818,0.571,532.674,0.005,0.576,1.373,0,0,94282,,,,,353,2.749,0.062,
8,79.804,2.97,203972.642,2.744,0.065,-134.763,0.8,543.617,0.04,0.84,1.372,0,0,94328,,,,,352,2.761,0.017,
9,79.612,2.778,203829.388,2.812,0.07,-151.753,0.865,556.778,0.082,0.947,1.37,0,0,94246,,,,,351,2.759,-0.053,
10,79.535,2.701,203669.12,2.88,0.063,-168.793,0.778,569.728,0.124,0.902,1.369,0,0,94478,,,,,350,2.737,-0.143,
11,79.904,3.07,203491.784,2.936,0.046,-185.888,0.55,580.248,0.158,0.708,1.368,0,0,94310,,,,,349,2.701,-0.235,
12,80.027,3.193,203297.324,2.97,0.021,-203.044,0.223,586.459,0.178,0.402,1.367,0,0,93698,,,,,348,2.663,-0.307,
13,79.881,3.047,203085.675,2.978,-0.004,-220.264,-0.106,587.497,0.181,0.075,1.367,0,0,94008,,,,,347,2.633,-0.345,
14,79.927,3.093,202856.772,2.965,-0.02,-237.554,-0.314,584.269,0.171,-0.143,1.368,0,0,94482,,,,,346,2.617,-0.348,
15,79.689,2.855,202610.542,2.944,-0.02,-254.918,-0.327,579.328,0.155,-0.173,1.368,0,0,93782,,,,,345,2.617,-0.327,
16,79.573,2.74,202346.91,2.928,-0.009,-272.361,-0.183,575.552,0.142,-0.04,1.368,0,0,93374,,,,,344,2.632,-0.296,
17,79.55,2.717,202065.793,2.927,0.005,-289.885,-0.004,574.492,0.139,0.135,1.369,0,0,93686,,,,,343,2.657,-0.27,
18,79.965,3.132,201767.11,2.937,0.013,-307.496,0.09,575.672,0.142,0.233,1.368,0,0,93266,,,,,342,2.686,-0.251,
19,79.942,3.109,201450.771,2.951,0.011,-325.197,0.063,577.347,0.148,0.211,1.368,0,0,92994,,,,,341,2.713,-0.238,
20,79.596,2.763,201116.685,2.959,0.005,-342.99,-0.03,577.981,0.15,0.12,1.368,0,0,93384,,,,,340,2.735,-0.224,
21,80.035,3.201,200764.759,2.96,-0.001,-360.88,-0.107,577.214,0.147,0.04,1.368,0,0,93256,,,,,339,2.75,-0.21,
22,79.727,2.894,200394.893,2.958,-0.002,-378.868,-0.129,575.71,0.142,0.013,1.368,0,0,92432,,,,,338,2.757,-0.201,
23,79.512,2.678,200006.99,2.956,-0.001,-396.957,-0.115,574.247,0.137,0.022,1.369,0,0,92620,,,,,337,2.758,-0.198,
