rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
15058,1,1,360,3,360,0,0,0,42,136,163.8,1.2,33.5,150.58,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,80.65,2.165,204502.326,2.669,0.009,-16.785,0.11,530.18,-0.003,0.107,1.373,11.821,745.285,94104,111.55,152.096,,,359,2.714,0.045,10.87706145
2,80.972,2.488,204477.146,2.698,0.047,-33.576,0.595,535.765,0.015,0.61,1.372,0,0,93758,,,,,358,2.753,0.055,
3,81.334,2.849,204435.17,2.758,0.068,-50.379,0.871,547.607,0.053,0.924,1.371,0,0,93684,,,,,357,2.781,0.023,
4,81.28,2.795,204376.383,2.826,0.061,-67.198,0.777,560.933,0.096,0.873,1.37,0,0,94184,,,,,356,2.793,-0.033,
5,81.995,3.51,204300.766,2.873,0.029,-84.041,0.358,570.074,0.125,0.484,1.369,0,0,94080,,,,,355,2.794,-0.079,
6,81.019,2.534,204208.291,2.882,-0.011,-100.913,-0.169,571.564,0.13,-0.039,1.369,0,0,93788,,,,,354,2.793,-0.089,
7,81.941,3.456,204098.929,2.854,-0.04,-117.818,-0.547,565.794,0.111,-0.436,1.369,0,0,94280,,,,,353,2.792,-0.062,
8,81.095,2.611,203972.642,2.808,-0.046,-134.763,-0.628,556.415,0.081,-0.548,1.37,0,0,94216,,,,,352,2.79,-0.018,
9,80.796,2.311,203829.388,2.768,-0.031,-151.753,-0.435,548.071,0.054,-0.381,1.371,0,0,93740,,,,,351,2.783,0.015,
10,81.165,2.68,203669.12,2.75,-0.006,-168.793,-0.112,543.982,0.041,-0.071,1.372,0,0,94020,,,,,350,2.771,0.021,
11,81.503,3.018,203491.784,2.757,0.018,-185.888,0.186,544.876,0.044,0.229,1.371,0,0,94402,,,,,349,2.758,0.001,
12,81.049,2.565,203297.324,2.783,0.034,-203.044,0.383,549.618,0.059,0.442,1.371,0,0,94032,,,,,348,2.755,-0.028,
13,81.349,2.864,203085.675,2.822,0.042,-220.264,0.488,556.62,0.081,0.57,1.37,0,0,93872,,,,,347,2.764,-0.058,
14,81.311,2.826,202856.772,2.866,0.047,-237.554,0.54,564.773,0.108,0.648,1.37,0,0,93976,,,,,346,2.784,-0.082,
15,81.495,3.01,202610.542,2.914,0.048,-254.918,0.555,573.45,0.136,0.69,1.369,0,0,93912,,,,,345,2.804,-0.11,
16,81.357,2.872,202346.91,2.961,0.046,-272.361,0.521,582.026,0.163,0.684,1.368,0,0,94014,,,,,344,2.814,-0.147,
