rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
15007,1,1,360,5,360,0,0,0,42,136,163.8,1.2,33.5,150.07,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
40,80.527,3.023,190549.496,2.94,-0.069,-720.803,-1.017,544.162,0.036,-0.981,1.372,0,0,91772,,,,,320,2.67,-0.27,
41,80.296,2.793,189818.721,2.873,-0.063,-740.761,-0.94,529.701,-0.011,-0.951,1.373,0,0,91516,,,,,319,2.754,-0.119,
42,80.188,2.685,189067.947,2.815,-0.052,-760.802,-0.801,516.952,-0.053,-0.854,1.374,0,0,92072,,,,,318,2.834,0.019,
43,80.111,2.608,188297.091,2.769,-0.039,-780.922,-0.649,506.496,-0.087,-0.736,1.375,0,0,92074,,,,,317,2.902,0.133,
44,80.504,3,187506.078,2.736,-0.027,-801.115,-0.509,498.298,-0.114,-0.622,1.376,0,0,91920,,,,,316,2.956,0.22,
45,80.219,2.716,186694.838,2.714,-0.015,-821.376,-0.369,492.236,-0.134,-0.502,1.377,0,0,92386,,,,,315,3.003,0.289,
46,79.75,2.247,185863.306,2.706,-0.002,-841.698,-0.219,488.434,-0.146,-0.365,1.377,0,0,92420,,,,,314,3.063,0.357,
47,80.673,3.17,185011.423,2.71,0.01,-862.076,-0.09,486.918,-0.152,-0.241,1.377,0,0,92088,,,,,313,3.162,0.452,
48,79.789,2.285,184139.138,2.722,0.013,-882.502,-0.053,486.862,-0.152,-0.206,1.377,0,0,92798,,,,,312,3.318,0.596,
49,80.196,2.693,183246.405,2.732,0.003,-902.97,-0.171,486.261,-0.155,-0.326,1.377,0,0,93232,,,,,311,3.533,0.801,
50,80.911,3.408,182333.187,2.725,-0.019,-923.471,-0.428,482.652,-0.167,-0.595,1.378,0,0,92646,,,,,310,3.792,1.067,
51,79.858,2.355,181399.454,2.693,-0.044,-943.998,-0.714,474.565,-0.193,-0.907,1.378,0,0,92872,,,,,309,4.07,1.377,
52,80.611,3.108,180445.185,2.64,-0.059,-964.543,-0.876,462.713,-0.232,-1.107,1.38,0,0,93590,,,,,308,4.344,1.704,
53,79.566,2.063,179470.366,2.581,-0.054,-985.096,-0.811,449.966,-0.273,-1.084,1.381,0,0,93412,,,,,307,4.598,2.017,
54,80.296,2.793,178474.993,2.538,-0.029,-1005.649,-0.529,440.033,-0.305,-0.834,1.382,0,0,93326,,,,,306,4.834,2.296,
55,79.604,2.101,177459.071,2.527,0.007,-1026.192,-0.144,435.62,-0.32,-0.464,1.382,0,0,93834,,,,,305,5.058,2.531,
56,79.704,2.201,176422.615,2.551,0.038,-1046.716,0.186,437.133,-0.316,-0.131,1.382,0,0,93626,,,,,304,5.278,2.727,
57,80.557,3.054,175365.649,2.599,0.053,-1067.21,0.339,442.629,-0.3,0.039,1.382,0,0,93592,,,,,303,5.494,2.895,
58,80.104,2.601,174288.208,2.652,0.049,-1087.664,0.284,448.904,-0.281,0.003,1.381,0,0,93854,,,,,302,5.7,3.048,
59,80.204,2.701,173190.337,2.693,0.032,-1108.067,0.084,453.035,-0.268,-0.185,1.381,0,0,93960,,,,,301,5.89,3.197,
60,80.219,2.716,172072.094,2.715,0.012,-1128.408,-0.13,453.7,-0.267,-0.397,1.381,0,0,93820,,,,,300,6.07,3.355,
61,80.665,3.162,170933.546,2.722,0.006,-1148.675,-0.208,451.872,-0.274,-0.481,1.381,0,0,94256,,,,,299,6.249,3.527,
62,80.05,2.547,169774.772,2.732,0.02,-1168.857,-0.063,450.525,-0.279,-0.342,1.381,0,0,93996,,,,,298,6.432,3.7,
63,79.881,2.378,168595.865,2.767,0.052,-1188.941,0.262,453.1,-0.272,-0.009,1.381,0,0,93944,,,,,297,6.619,3.852,
64,79.804,2.301,167396.927,2.837,0.087,-1208.915,0.602,461.297,-0.246,0.356,1.38,0,0,94414,,,,,296,6.801,3.964,
65,80.819,3.316,166178.075,2.935,0.105,-1228.767,0.768,473.764,-0.207,0.561,1.379,0,0,94436,,,,,295,6.968,4.033,
66,80.811,3.308,164939.438,3.039,0.098,-1248.484,0.683,486.876,-0.166,0.517,1.377,0,0,93936,,,,,294,7.111,4.072,
67,80.596,3.093,163681.157,3.126,0.075,-1268.052,0.42,497.052,-0.134,0.286,1.376,0,0,94096,,,,,293,7.229,4.103,
68,80.734,3.231,162403.388,3.187,0.048,-1287.457,0.137,502.749,-0.116,0.021,1.376,0,0,94502,,,,,292,7.326,4.139,
69,81.142,3.638,161106.301,3.225,0.031,-1306.688,-0.055,504.699,-0.111,-0.165,1.375,0,0,94144,,,,,291,7.402,4.177,
70,80.15,2.647,159790.076,3.251,0.021,-1325.729,-0.156,504.517,-0.112,-0.269,1.375,0,0,94142,,,,,290,7.455,4.204,
71,80.957,3.454,158454.91,3.268,0.012,-1344.567,-0.258,502.974,-0.118,-0.377,1.376,0,0,94554,,,,,289,7.484,4.216,
72,80.757,3.254,157101.015,3.272,-0.006,-1363.187,-0.438,499.342,-0.131,-0.569,1.376,0,0,94200,,,,,288,7.494,4.222,
73,81.203,3.7,155728.614,3.255,-0.03,-1381.575,-0.672,492.358,-0.155,-0.828,1.377,0,0,94022,,,,,287,7.499,4.244,
74,80.726,3.223,154337.947,3.215,-0.047,-1399.717,-0.837,481.984,-0.191,-1.028,1.378,0,0,94412,,,,,286,7.517,4.302,
75,80.711,3.208,152929.267,3.167,-0.045,-1417.597,-0.804,470.383,-0.23,-1.034,1.379,0,0,94202,,,,,285,7.56,4.393,
76,80.288,2.785,151502.844,3.133,-0.019,-1435.202,-0.556,461.047,-0.262,-0.818,1.38,0,0,93890,,,,,284,7.628,4.495,
77,80.373,2.87,150058.96,3.133,0.018,-1452.516,-0.219,456.605,-0.278,-0.497,1.38,0,0,93960,,,,,283,7.711,4.578,
78,80.35,2.847,148597.913,3.167,0.046,-1469.525,0.028,457.077,-0.278,-0.25,1.38,0,0,93968,,,,,282,7.796,4.629,
79,81.226,3.723,147120.018,3.219,0.054,-1486.212,0.084,460.036,-0.27,-0.186,1.38,0,0,93608,,,,,281,7.881,4.662,
80,80.826,3.323,145625.601,3.27,0.045,-1502.564,-0.014,462.528,-0.263,-0.277,1.38,0,0,93436,,,,,280,7.967,4.697,
81,81.034,3.531,144115.007,3.309,0.033,-1518.564,-0.131,463.124,-0.263,-0.394,1.38,0,0,93186,,,,,279,8.057,4.748,
82,80.434,2.931,142588.595,3.34,0.033,-1534.198,-0.148,462.568,-0.266,-0.415,1.38,0,0,92802,,,,,278,8.152,4.812,
83,80.865,3.362,141046.738,3.378,0.047,-1549.451,-0.037,462.834,-0.267,-0.304,1.38,0,0,92800,,,,,277,8.258,4.88,
84,81.234,3.731,139489.824,3.436,0.069,-1564.308,0.134,465.534,-0.26,-0.126,1.379,0,0,92800,,,,,276,8.382,4.946,
85,80.257,2.754,137918.259,3.514,0.084,-1578.753,0.246,470.715,-0.245,0.001,1.379,0,0,92294,,,,,275,8.536,5.022,
86,81.518,4.015,136332.461,3.599,0.081,-1592.771,0.197,476.572,-0.227,-0.03,1.378,0,0,91984,,,,,274,8.723,5.124,
87,81.103,3.6,134732.865,3.67,0.056,-1606.347,-0.035,480.243,-0.217,-0.252,1.378,0,0,91932,,,,,273,8.931,5.261,
88,81.849,4.346,133119.919,3.707,0.018,-1619.467,-0.361,479.376,-0.222,-0.583,1.378,0,0,91596,,,,,272,9.141,5.434,
89,81.288,3.785,131494.089,3.708,-0.013,-1632.115,-0.624,473.649,-0.243,-0.867,1.379,0,0,91512,,,,,271,9.337,5.629,
90,80.719,3.216,129855.852,3.688,-0.022,-1644.276,-0.691,465.172,-0.274,-0.965,1.379,0,0,91590,,,,,270,9.508,5.82,
91,81.634,4.13,128205.703,3.674,-0.002,-1655.937,-0.533,457.451,-0.302,-0.835,1.38,0,0,91552,,,,,269,9.658,5.984,
92,80.427,2.924,126544.149,3.69,0.037,-1667.083,-0.234,453.553,-0.317,-0.551,1.381,0,0,91412,,,,,268,9.796,6.106,
93,81.257,3.754,124871.714,3.749,0.078,-1677.699,0.066,454.649,-0.316,-0.25,1.381,0,0,91844,,,,,267,9.945,6.196,
94,81.249,3.746,123188.933,3.843,0.106,-1687.771,0.255,459.774,-0.302,-0.046,1.38,0,0,92022,,,,,266,10.124,6.281,
95,81.618,4.115,121496.357,3.956,0.118,-1697.286,0.31,466.838,-0.28,0.03,1.379,0,0,91756,,,,,265,10.341,6.385,
96,81.787,4.284,119794.551,4.074,0.118,-1706.23,0.285,474.074,-0.258,0.027,1.379,0,0,91926,,,,,264,10.583,6.509,
97,81.657,4.154,118084.093,4.192,0.116,-1714.589,0.238,480.752,-0.238,0,1.378,0,0,92222,,,,,263,10.827,6.635,
