rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
14980,1,1,360,1,360,0,0,0,42,136,163.8,1.2,33.5,149.8,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,81.265,3.206,204502.326,2.828,-0.02,-16.785,-0.261,561.685,0.098,-0.163,1.37,11.074,694.608,93810,103.641,151.782,,,359,2.867,0.039,10.08236872
2,80.257,2.199,204477.146,2.813,-0.008,-33.576,-0.109,558.684,0.088,-0.02,1.37,0,0,93592,,,,,358,2.873,0.06,
3,81.418,3.359,204435.17,2.815,0.013,-50.379,0.157,558.966,0.089,0.247,1.37,0,0,93384,,,,,357,2.863,0.048,
4,80.419,2.36,204376.383,2.84,0.038,-67.198,0.473,563.845,0.105,0.579,1.37,0,0,93868,,,,,356,2.839,-0.001,
5,80.796,2.737,204300.766,2.889,0.059,-84.041,0.741,573.361,0.136,0.877,1.369,0,0,93898,,,,,355,2.808,-0.081,
6,81.265,3.206,204208.291,2.954,0.068,-100.913,0.854,585.921,0.177,1.031,1.367,0,0,93526,,,,,354,2.781,-0.173,
7,80.834,2.775,204098.929,3.02,0.06,-117.818,0.757,598.609,0.218,0.975,1.366,0,0,93866,,,,,353,2.762,-0.258,
8,81.449,3.39,203972.642,3.071,0.04,-134.763,0.486,608.353,0.25,0.736,1.365,0,0,94170,,,,,352,2.75,-0.321,
9,81.48,3.421,203829.388,3.098,0.015,-151.753,0.151,613.31,0.266,0.417,1.365,0,0,94196,,,,,351,2.732,-0.366,
10,80.98,2.921,203669.12,3.101,-0.008,-168.793,-0.144,613.409,0.266,0.122,1.365,0,0,93848,,,,,350,2.705,-0.396,
