rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
14990,1,1,360,2,360,0,0,0,42,136,163.8,1.2,33.5,149.9,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,81.111,2.546,204502.326,2.892,0.086,-16.785,1.117,574.492,0.14,1.257,1.369,11.638,730.427,94334,111.767,155.015,,,360,2.823,-0.069,10.13107222
2,81.941,3.376,204477.146,2.988,0.099,-33.576,1.289,593.492,0.201,1.49,1.367,0,0,94520,,,,,359,2.792,-0.196,
3,82.072,3.507,204435.17,3.081,0.079,-50.379,1.019,611.711,0.261,1.28,1.365,0,0,94500,,,,,358,2.793,-0.288,
4,81.649,3.084,204376.383,3.138,0.032,-67.198,0.4,622.84,0.297,0.697,1.364,0,0,94588,,,,,357,2.808,-0.33,
5,82.026,3.461,204300.766,3.142,-0.022,-84.041,-0.315,623.482,0.299,-0.016,1.364,0,0,94868,,,,,356,2.828,-0.314,
6,81.695,3.13,204208.291,3.097,-0.064,-100.913,-0.867,614.262,0.269,-0.598,1.365,0,0,95132,,,,,355,2.848,-0.249,
7,81.618,3.053,204098.929,3.022,-0.081,-117.818,-1.094,598.991,0.219,-0.875,1.366,0,0,94710,,,,,354,2.862,-0.16,
8,81.726,3.161,203972.642,2.942,-0.072,-134.763,-0.969,582.952,0.167,-0.802,1.368,0,0,95168,,,,,353,2.861,-0.081,
9,80.773,2.208,203829.388,2.884,-0.042,-151.753,-0.586,570.976,0.128,-0.458,1.369,0,0,94884,,,,,352,2.835,-0.049,
10,81.195,2.631,203669.12,2.86,-0.005,-168.793,-0.112,565.821,0.111,-0.001,1.369,0,0,94772,,,,,351,2.788,-0.072,
11,81.864,3.299,203491.784,2.872,0.026,-185.888,0.291,567.575,0.117,0.407,1.369,0,0,95008,,,,,350,2.735,-0.137,
12,81.28,2.715,203297.324,2.909,0.045,-203.044,0.531,574.322,0.139,0.67,1.369,0,0,94880,,,,,349,2.692,-0.217,
