rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
12131,1,1,360,5,360,0,0,0,42,136,163.8,0.43,35,121.31,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,76.591,2.271,204502.326,2.101,0.04,-16.785,0.527,640.143,0.231,0.758,1.362,7.605,386.288,116274,71.993,160.811,,,359,2.043,-0.058,7.269648045
2,75.599,1.279,204477.146,2.146,0.049,-33.576,0.649,653.8,0.26,0.91,1.361,0,0,116490,,,,,358,2.031,-0.115,
3,76.852,2.533,204435.17,2.198,0.051,-50.379,0.669,669.295,0.294,0.963,1.36,0,0,116622,,,,,357,2.036,-0.162,
4,76.714,2.394,204376.383,2.245,0.041,-67.198,0.534,683.475,0.325,0.859,1.358,0,0,116742,,,,,356,2.065,-0.18,
5,76.975,2.656,204300.766,2.277,0.023,-84.041,0.293,693.094,0.346,0.639,1.358,0,0,116922,,,,,355,2.12,-0.157,
6,76.383,2.064,204208.291,2.291,0.006,-100.913,0.06,697.04,0.354,0.414,1.357,0,0,116852,,,,,354,2.198,-0.093,
7,76.521,2.202,204098.929,2.291,-0.006,-117.818,-0.1,696.524,0.353,0.253,1.357,0,0,116906,,,,,353,2.29,-0.001,
8,76.683,2.363,203972.642,2.281,-0.015,-134.763,-0.226,693.01,0.345,0.119,1.358,0,0,117142,,,,,352,2.376,0.095,
9,76.552,2.233,203829.388,2.26,-0.027,-151.753,-0.393,686.333,0.331,-0.063,1.358,0,0,116052,,,,,351,2.436,0.176,
10,76.629,2.31,203669.12,2.226,-0.042,-168.793,-0.587,675.357,0.307,-0.281,1.359,0,0,117230,,,,,350,2.455,0.229,
11,76.852,2.533,203491.784,2.179,-0.049,-185.888,-0.677,660.68,0.275,-0.402,1.361,0,0,116670,,,,,349,2.429,0.25,
12,76.468,2.148,203297.324,2.134,-0.037,-203.044,-0.52,646.463,0.244,-0.275,1.362,0,0,115726,,,,,348,2.368,0.234,
13,75.707,1.387,203085.675,2.112,-0.005,-220.264,-0.106,638.997,0.228,0.123,1.363,0,0,117010,,,,,347,2.289,0.177,
14,76.398,2.079,202856.772,2.127,0.034,-237.554,0.395,642.672,0.236,0.632,1.362,0,0,115452,,,,,346,2.213,0.086,
15,76.429,2.11,202610.542,2.175,0.06,-254.918,0.735,656.599,0.266,1.001,1.361,0,0,115644,,,,,345,2.154,-0.021,
16,76.821,2.502,202346.91,2.238,0.06,-272.361,0.743,674.679,0.305,1.049,1.359,0,0,116380,,,,,344,2.118,-0.12,
17,76.598,2.279,202065.793,2.289,0.037,-289.885,0.434,689.017,0.337,0.771,1.358,0,0,114736,,,,,343,2.106,-0.183,
18,76.829,2.509,201767.11,2.31,0.004,-307.496,-0.009,694.231,0.348,0.339,1.358,0,0,116118,,,,,342,2.113,-0.197,
19,76.929,2.609,201450.771,2.299,-0.021,-325.197,-0.344,690.094,0.339,-0.005,1.358,0,0,115208,,,,,341,2.121,-0.178,
20,76.498,2.179,201116.685,2.273,-0.026,-342.99,-0.415,681.171,0.319,-0.095,1.359,0,0,114570,,,,,340,2.116,-0.157,
21,76.191,1.871,200764.759,2.252,-0.013,-360.88,-0.241,673.704,0.303,0.062,1.359,0,0,116064,,,,,339,2.088,-0.164,
22,76.406,2.087,200394.893,2.25,0.007,-378.868,0.016,671.664,0.299,0.315,1.36,0,0,114382,,,,,338,2.046,-0.204,
23,76.621,2.302,200006.99,2.265,0.021,-396.957,0.188,674.842,0.305,0.494,1.359,0,0,114868,,,,,337,2.011,-0.254,
24,76.913,2.594,199600.945,2.288,0.024,-415.15,0.233,680.4,0.318,0.551,1.359,0,0,115122,,,,,336,2.003,-0.285,
25,76.714,2.394,199176.655,2.312,0.025,-433.448,0.233,686.168,0.33,0.563,1.358,0,0,113754,,,,,335,2.029,-0.283,
26,76.491,2.171,198734.014,2.338,0.028,-451.853,0.267,692.236,0.343,0.611,1.358,0,0,115026,,,,,334,2.073,-0.265,
27,76.268,1.948,198272.913,2.368,0.032,-470.366,0.312,699.447,0.359,0.671,1.357,0,0,113958,,,,,333,2.108,-0.26,
28,76.875,2.556,197793.246,2.399,0.028,-488.988,0.265,706.925,0.375,0.64,1.356,0,0,113636,,,,,332,2.113,-0.286,
