rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
12134,1,1,360,6,360,0,0,0,42,136,163.8,0.43,35,121.34,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,76.675,2.717,204502.326,2.227,-0.09,-16.785,-1.198,678.395,0.314,-0.885,1.359,7.192,365.412,116460,67.937,161.867,,,359,2.341,0.114,6.982346369
2,76.398,2.44,204477.146,2.131,-0.097,-33.576,-1.285,649.19,0.25,-1.035,1.362,0,0,116520,,,,,358,2.332,0.201,
3,75.499,1.541,204435.17,2.042,-0.075,-50.379,-1.001,622.041,0.192,-0.809,1.364,0,0,116620,,,,,357,2.282,0.24,
4,75.73,1.771,204376.383,1.987,-0.033,-67.198,-0.439,604.958,0.156,-0.284,1.366,0,0,116916,,,,,356,2.206,0.219,
5,75.384,1.426,204300.766,1.978,0.014,-84.041,0.169,602.117,0.15,0.318,1.366,0,0,116772,,,,,355,2.13,0.152,
6,76.368,2.41,204208.291,2.01,0.045,-100.913,0.574,611.577,0.17,0.744,1.365,0,0,117122,,,,,354,2.078,0.068,
7,76.006,2.048,204098.929,2.061,0.052,-117.818,0.659,626.728,0.202,0.861,1.364,0,0,116962,,,,,353,2.064,0.003,
8,76.022,2.064,203972.642,2.108,0.039,-134.763,0.492,640.515,0.232,0.724,1.362,0,0,116924,,,,,352,2.081,-0.027,
9,76.706,2.748,203829.388,2.138,0.021,-151.753,0.252,649.149,0.25,0.502,1.362,0,0,117100,,,,,351,2.115,-0.023,
10,75.422,1.464,203669.12,2.152,0.009,-168.793,0.082,652.878,0.258,0.34,1.361,0,0,116402,,,,,350,2.146,-0.006,
11,76.56,2.602,203491.784,2.157,0.003,-185.888,0.01,653.963,0.261,0.271,1.361,0,0,116788,,,,,349,2.161,0.004,
12,75.853,1.894,203297.324,2.159,0.001,-203.044,-0.03,654.02,0.261,0.231,1.361,0,0,116456,,,,,348,2.155,-0.004,
13,76.006,2.048,203085.675,2.158,-0.004,-220.264,-0.099,652.92,0.258,0.159,1.361,0,0,115884,,,,,347,2.132,-0.026,
14,76.66,2.702,202856.772,2.151,-0.01,-237.554,-0.179,649.95,0.252,0.073,1.362,0,0,116332,,,,,346,2.1,-0.051,
15,75.799,1.841,202610.542,2.139,-0.01,-254.918,-0.184,645.776,0.243,0.059,1.362,0,0,115670,,,,,345,2.063,-0.076,
16,76.283,2.325,202346.91,2.133,-0.001,-272.361,-0.061,642.943,0.237,0.176,1.362,0,0,115460,,,,,344,2.021,-0.112,
17,75.514,1.556,202065.793,2.14,0.015,-289.885,0.137,644.086,0.239,0.376,1.362,0,0,115918,,,,,343,1.979,-0.161,
18,76.152,2.194,201767.11,2.161,0.026,-307.496,0.286,649.566,0.251,0.537,1.362,0,0,115118,,,,,342,1.951,-0.21,
19,76.468,2.509,201450.771,2.189,0.028,-325.197,0.301,657.03,0.267,0.568,1.361,0,0,115006,,,,,341,1.956,-0.233,
20,76.398,2.44,201116.685,2.214,0.019,-342.99,0.186,663.213,0.28,0.467,1.36,0,0,115098,,,,,340,2,-0.214,
21,75.845,1.887,200764.759,2.226,0.005,-360.88,-0.001,665.823,0.286,0.285,1.36,0,0,114596,,,,,339,2.074,-0.152,
22,76.114,2.156,200394.893,2.223,-0.012,-378.868,-0.226,663.727,0.281,0.055,1.36,0,0,114804,,,,,338,2.156,-0.067,
