rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
12100,1,1,360,4,360,0,0,0,42,136,163.8,0.43,35,121,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
1,76.921,2.055,204502.326,2.203,0.037,-16.785,0.491,671.106,0.298,0.788,1.36,7.847,397.568,116392,74.415,160.344,,,359,2.084,-0.119,7.639810056
2,77.421,2.555,204477.146,2.224,0.005,-33.576,0.062,677.617,0.312,0.374,1.359,0,0,116600,,,,,358,2.008,-0.216,
3,77.052,2.186,204435.17,2.213,-0.028,-50.379,-0.381,673.938,0.304,-0.077,1.359,0,0,116770,,,,,357,1.933,-0.28,
4,77.221,2.355,204376.383,2.172,-0.052,-67.198,-0.71,661.164,0.276,-0.433,1.36,0,0,116646,,,,,356,1.865,-0.307,
5,77.052,2.186,204300.766,2.113,-0.061,-84.041,-0.816,643.155,0.237,-0.579,1.362,0,0,116794,,,,,355,1.816,-0.297,
6,76.737,1.871,204208.291,2.057,-0.049,-100.913,-0.659,625.66,0.2,-0.459,1.364,0,0,117006,,,,,354,1.801,-0.256,
7,76.698,1.832,204098.929,2.021,-0.021,-117.818,-0.294,614.402,0.176,-0.118,1.365,0,0,117132,,,,,353,1.83,-0.191,
8,76.706,1.84,203972.642,2.017,0.012,-134.763,0.136,612.761,0.172,0.308,1.365,0,0,117152,,,,,352,1.899,-0.118,
9,76.99,2.124,203829.388,2.043,0.037,-151.753,0.457,620.229,0.188,0.645,1.364,0,0,117118,,,,,351,1.986,-0.057,
10,76.644,1.778,203669.12,2.085,0.044,-168.793,0.548,632.634,0.215,0.763,1.363,0,0,116784,,,,,350,2.061,-0.024,
11,77.382,2.516,203491.784,2.125,0.034,-185.888,0.409,644.303,0.24,0.649,1.362,0,0,116960,,,,,349,2.105,-0.02,
12,77.221,2.355,203297.324,2.15,0.016,-203.044,0.169,651.186,0.255,0.424,1.361,0,0,116478,,,,,348,2.119,-0.031,
13,76.929,2.063,203085.675,2.159,0.004,-220.264,0.011,653.102,0.259,0.269,1.361,0,0,115722,,,,,347,2.122,-0.037,
14,77.113,2.247,202856.772,2.162,0.006,-237.554,0.039,653.458,0.259,0.299,1.361,0,0,116108,,,,,346,2.135,-0.027,
15,76.644,1.778,202610.542,2.175,0.02,-254.918,0.214,656.453,0.266,0.48,1.361,0,0,116042,,,,,345,2.166,-0.009,
16,76.898,2.032,202346.91,2.202,0.033,-272.361,0.378,663.789,0.282,0.66,1.36,0,0,115714,,,,,344,2.208,0.006,
17,77.567,2.701,202065.793,2.236,0.033,-289.885,0.372,673.24,0.302,0.674,1.359,0,0,115798,,,,,343,2.239,0.003,
18,76.975,2.109,201767.11,2.262,0.014,-307.496,0.127,679.829,0.317,0.443,1.359,0,0,115630,,,,,342,2.234,-0.028,
19,77.244,2.378,201450.771,2.261,-0.017,-325.197,-0.295,678.547,0.314,0.019,1.359,0,0,115632,,,,,341,2.182,-0.079,
20,77.298,2.432,201116.685,2.227,-0.05,-342.99,-0.721,667.129,0.289,-0.432,1.36,0,0,115576,,,,,340,2.088,-0.139,
21,77.275,2.409,200764.759,2.166,-0.067,-360.88,-0.946,647.765,0.247,-0.699,1.362,0,0,115632,,,,,339,1.977,-0.189,
22,76.975,2.109,200394.893,2.099,-0.06,-378.868,-0.846,626.732,0.201,-0.645,1.364,0,0,115414,,,,,338,1.88,-0.219,
23,76.337,1.471,200006.99,2.052,-0.032,-396.957,-0.477,611.396,0.169,-0.308,1.365,0,0,115298,,,,,337,1.823,-0.229,
24,76.46,1.594,199600.945,2.038,0.002,-415.15,-0.047,605.952,0.157,0.11,1.366,0,0,115566,,,,,336,1.812,-0.226,
25,77.436,2.57,199176.655,2.052,0.023,-433.448,0.216,609.023,0.163,0.38,1.365,0,0,115080,,,,,335,1.833,-0.219,
26,77.006,2.14,198734.014,2.078,0.024,-451.853,0.225,615.221,0.176,0.402,1.365,0,0,115248,,,,,334,1.863,-0.215,
27,76.806,1.94,198272.913,2.097,0.013,-470.366,0.077,619.385,0.185,0.263,1.364,0,0,115086,,,,,333,1.884,-0.213,
28,77.306,2.44,197793.246,2.104,0.003,-488.988,-0.049,619.971,0.187,0.138,1.364,0,0,114548,,,,,332,1.889,-0.215,
29,76.96,2.094,197294.901,2.106,0.003,-507.72,-0.05,619.037,0.184,0.134,1.364,0,0,114614,,,,,331,1.885,-0.221,
