rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
12110,1,1,360,3,360,0,0,0,42,136,163.8,0.43,35,121.1,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
1,77.851,2.558,204502.326,1.959,0.069,-16.785,0.895,596.902,0.138,1.034,1.366,7.71,390.949,116026,73.399,161.382,,,359,1.83,-0.129,7.417659218
2,77.167,1.874,204477.146,2.027,0.067,-33.576,0.88,617.507,0.182,1.063,1.364,0,0,115834,,,,,358,1.789,-0.238,
3,77.467,2.174,204435.17,2.094,0.067,-50.379,0.882,637.812,0.226,1.107,1.363,0,0,116762,,,,,357,1.773,-0.321,
4,76.798,1.505,204376.383,2.161,0.065,-67.198,0.854,658.015,0.269,1.123,1.361,0,0,116420,,,,,356,1.781,-0.38,
5,77.828,2.535,204300.766,2.222,0.053,-84.041,0.696,676.264,0.309,1.005,1.359,0,0,116402,,,,,355,1.811,-0.411,
6,77.944,2.65,204208.291,2.265,0.031,-100.913,0.4,689.114,0.337,0.737,1.358,0,0,116408,,,,,354,1.855,-0.41,
7,78.136,2.842,204098.929,2.285,0.009,-117.818,0.097,694.681,0.349,0.446,1.357,0,0,116202,,,,,353,1.91,-0.375,
8,76.76,1.466,203972.642,2.286,-0.003,-134.763,-0.073,694.666,0.349,0.276,1.357,0,0,116726,,,,,352,1.964,-0.322,
9,77.682,2.389,203829.388,2.281,-0.006,-151.753,-0.113,692.532,0.344,0.231,1.358,0,0,116100,,,,,351,2.003,-0.278,
10,77.421,2.127,203669.12,2.274,-0.009,-168.793,-0.151,689.932,0.339,0.188,1.358,0,0,116212,,,,,350,2.014,-0.26,
11,78.067,2.773,203491.784,2.261,-0.018,-185.888,-0.278,685.546,0.329,0.051,1.358,0,0,116530,,,,,349,1.993,-0.268,
12,77.467,2.174,203297.324,2.237,-0.031,-203.044,-0.45,677.453,0.311,-0.138,1.359,0,0,116222,,,,,348,1.948,-0.289,
13,77.467,2.174,203085.675,2.202,-0.037,-220.264,-0.535,666.093,0.287,-0.248,1.36,0,0,116446,,,,,347,1.89,-0.312,
14,77.536,2.243,202856.772,2.166,-0.031,-237.554,-0.453,654.632,0.262,-0.191,1.361,0,0,115914,,,,,346,1.834,-0.332,
15,76.813,1.52,202610.542,2.143,-0.014,-254.918,-0.236,646.798,0.245,0.009,1.362,0,0,115930,,,,,345,1.794,-0.349,
16,77.997,2.704,202346.91,2.139,0.006,-272.361,0.023,644.683,0.24,0.264,1.362,0,0,116008,,,,,344,1.78,-0.359,
17,77.013,1.72,202065.793,2.153,0.023,-289.885,0.248,648.264,0.248,0.496,1.362,0,0,115140,,,,,343,1.796,-0.357,
18,77.79,2.496,201767.11,2.183,0.035,-307.496,0.395,656.172,0.265,0.66,1.361,0,0,115330,,,,,342,1.834,-0.349,
19,77.113,1.82,201450.771,2.22,0.038,-325.197,0.438,666.329,0.287,0.725,1.36,0,0,115078,,,,,341,1.876,-0.344,
20,77.621,2.327,201116.685,2.256,0.032,-342.99,0.355,676.081,0.308,0.664,1.359,0,0,114646,,,,,340,1.909,-0.347,
21,78.09,2.796,200764.759,2.282,0.017,-360.88,0.154,682.551,0.322,0.477,1.359,0,0,114626,,,,,339,1.926,-0.356,
22,77.252,1.958,200394.893,2.29,-0.002,-378.868,-0.109,683.576,0.325,0.216,1.358,0,0,113864,,,,,338,1.934,-0.356,
23,77.69,2.396,200006.99,2.278,-0.02,-396.957,-0.341,678.75,0.314,-0.027,1.359,0,0,113838,,,,,337,1.945,-0.333,
24,77.782,2.489,199600.945,2.253,-0.028,-415.15,-0.444,669.91,0.295,-0.149,1.36,0,0,114012,,,,,336,1.969,-0.284,
25,77.352,2.058,199176.655,2.227,-0.021,-433.448,-0.361,660.759,0.275,-0.086,1.361,0,0,113362,,,,,335,2.005,-0.222,
26,77.359,2.066,198734.014,2.214,-0.002,-451.853,-0.111,655.56,0.263,0.152,1.361,0,0,113562,,,,,334,2.045,-0.169,
27,77.482,2.189,198272.913,2.224,0.022,-470.366,0.186,657.022,0.267,0.452,1.361,0,0,113714,,,,,333,2.077,-0.147,
28,77.159,1.866,197793.246,2.254,0.035,-488.988,0.352,664.26,0.282,0.634,1.36,0,0,113482,,,,,332,2.087,-0.167,
29,77.936,2.642,197294.901,2.288,0.028,-507.72,0.257,672.513,0.3,0.557,1.359,0,0,113682,,,,,331,2.074,-0.214,
30,77.674,2.381,196777.77,2.305,0.003,-526.561,-0.064,675.721,0.307,0.243,1.359,0,0,113446,,,,,330,2.044,-0.261,
31,77.897,2.604,196241.743,2.295,-0.022,-545.512,-0.398,670.811,0.296,-0.102,1.36,0,0,113582,,,,,329,2.008,-0.287,
32,77.974,2.681,195686.709,2.265,-0.031,-564.573,-0.503,660.403,0.274,-0.229,1.361,0,0,113876,,,,,328,1.975,-0.29,
33,76.621,1.328,195112.561,2.24,-0.016,-583.741,-0.313,651.107,0.253,-0.06,1.361,0,0,113358,,,,,327,1.946,-0.294,
34,77.398,2.104,194519.191,2.237,0.009,-603.017,-0.009,648.186,0.247,0.238,1.362,0,0,113850,,,,,326,1.918,-0.319,
35,77.421,2.127,193906.492,2.254,0.02,-622.398,0.126,650.995,0.253,0.379,1.361,0,0,113740,,,,,325,1.889,-0.365,
36,78.282,2.988,193274.36,2.269,0.005,-641.883,-0.069,653.229,0.258,0.189,1.361,0,0,113572,,,,,324,1.865,-0.404,
37,77.513,2.22,192622.693,2.257,-0.03,-661.469,-0.508,647.698,0.246,-0.263,1.362,0,0,113972,,,,,323,1.851,-0.406,
38,77.567,2.273,191951.39,2.208,-0.066,-681.153,-0.949,631.384,0.21,-0.739,1.363,0,0,113622,,,,,322,1.847,-0.361,
39,77.713,2.42,191260.356,2.13,-0.086,-700.932,-1.18,606.891,0.157,-1.023,1.365,0,0,113578,,,,,321,1.847,-0.283,
40,76.983,1.689,190549.496,2.043,-0.084,-720.803,-1.148,580.009,0.099,-1.049,1.368,0,0,113590,,,,,320,1.846,-0.197,
41,76.813,1.52,189818.721,1.967,-0.066,-740.761,-0.921,556.245,0.049,-0.873,1.37,0,0,113428,,,,,319,1.842,-0.125,
42,77.913,2.619,189067.947,1.914,-0.039,-760.802,-0.588,539.111,0.012,-0.576,1.372,0,0,113918,,,,,318,1.842,-0.072,
43,76.606,1.313,188297.091,1.891,-0.006,-780.922,-0.197,530.517,-0.006,-0.204,1.373,0,0,113842,,,,,317,1.85,-0.041,
