rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
12197,1,1,360,1,360,0,0,0,42,136,163.8,0.43,35,121.97,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
1,78.005,2.403,204502.326,2.032,-0.021,-16.785,-0.276,619.168,0.186,-0.09,1.364,7.391,377.484,116574,71.768,165.665,,,359,2.026,-0.006,7.173675978
2,77.528,1.926,204477.146,2.004,-0.032,-33.576,-0.425,610.495,0.167,-0.258,1.365,0,0,116992,,,,,358,1.992,-0.012,
3,77.159,1.557,204435.17,1.973,-0.027,-50.379,-0.364,600.934,0.147,-0.217,1.366,0,0,116474,,,,,357,1.96,-0.013,
4,77.551,1.949,204376.383,1.952,-0.015,-67.198,-0.211,594.312,0.133,-0.078,1.367,0,0,117302,,,,,356,1.947,-0.005,
5,77.559,1.957,204300.766,1.941,-0.008,-84.041,-0.12,590.864,0.126,0.006,1.367,0,0,117312,,,,,355,1.965,0.024,
6,77.567,1.964,204208.291,1.934,-0.009,-100.913,-0.134,588.219,0.12,-0.014,1.367,0,0,116926,,,,,354,2.01,0.076,
7,78.097,2.495,204098.929,1.923,-0.011,-117.818,-0.163,584.72,0.113,-0.05,1.368,0,0,117470,,,,,353,2.066,0.143,
8,76.99,1.388,203972.642,1.914,-0.005,-134.763,-0.09,581.54,0.106,0.016,1.368,0,0,117008,,,,,352,2.11,0.196,
9,77.282,1.68,203829.388,1.915,0.01,-151.753,0.099,581.584,0.106,0.205,1.368,0,0,117010,,,,,351,2.124,0.209,
10,77.528,1.926,203669.12,1.933,0.026,-168.793,0.309,586.632,0.117,0.425,1.367,0,0,117364,,,,,350,2.105,0.172,
11,77.874,2.272,203491.784,1.965,0.035,-185.888,0.422,595.684,0.136,0.558,1.367,0,0,116504,,,,,349,2.067,0.102,
12,77.498,1.895,203297.324,2,0.032,-203.044,0.388,605.665,0.157,0.544,1.366,0,0,117046,,,,,348,2.03,0.03,
13,77.367,1.765,203085.675,2.027,0.021,-220.264,0.237,613.334,0.173,0.41,1.365,0,0,116884,,,,,347,2.01,-0.017,
14,78.151,2.549,202856.772,2.042,0.008,-237.554,0.066,617.021,0.181,0.247,1.365,0,0,116226,,,,,346,2.01,-0.032,
15,77.575,1.972,202610.542,2.046,0.003,-254.918,-0.007,617.631,0.182,0.176,1.364,0,0,116656,,,,,345,2.021,-0.025,
16,77.682,2.08,202346.91,2.052,0.011,-272.361,0.089,618.449,0.184,0.273,1.364,0,0,115956,,,,,344,2.031,-0.021,
17,77.329,1.726,202065.793,2.07,0.028,-289.885,0.307,623.192,0.194,0.502,1.364,0,0,115922,,,,,343,2.028,-0.042,
18,77.513,1.911,201767.11,2.106,0.042,-307.496,0.489,633.043,0.215,0.704,1.363,0,0,115906,,,,,342,2.009,-0.097,
19,77.821,2.218,201450.771,2.149,0.041,-325.197,0.471,645.079,0.241,0.712,1.362,0,0,115356,,,,,341,1.982,-0.167,
20,78.228,2.626,201116.685,2.182,0.022,-342.99,0.221,653.893,0.26,0.482,1.361,0,0,115414,,,,,340,1.956,-0.226,
21,78.005,2.403,200764.759,2.191,-0.005,-360.88,-0.138,655.285,0.263,0.125,1.361,0,0,115290,,,,,339,1.943,-0.248,
