rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
12171,1,1,360,2,360,0,0,0,42,136,163.8,0.43,35,121.71,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,77.974,2.106,204502.326,2.12,0.034,-16.785,0.45,645.882,0.243,0.694,1.362,7.478,381.112,117072,73.808,168.087,,,359,2.104,-0.016,7.23277095
2,77.944,2.075,204477.146,2.159,0.04,-33.576,0.527,657.77,0.269,0.796,1.361,0,0,116962,,,,,358,2.143,-0.016,
3,78.097,2.229,204435.17,2.194,0.026,-50.379,0.336,668.246,0.292,0.628,1.36,0,0,116864,,,,,357,2.202,0.008,
4,78.328,2.46,204376.383,2.208,0,-67.198,-0.012,672.174,0.3,0.288,1.359,0,0,117082,,,,,356,2.257,0.049,
5,78.643,2.775,204300.766,2.195,-0.023,-84.041,-0.319,668.133,0.291,-0.027,1.36,0,0,116994,,,,,355,2.284,0.089,
6,77.382,1.514,204208.291,2.167,-0.03,-100.913,-0.412,659.247,0.272,-0.139,1.361,0,0,117334,,,,,354,2.267,0.1,
7,78.036,2.167,204098.929,2.142,-0.018,-117.818,-0.262,651.16,0.255,-0.007,1.361,0,0,116722,,,,,353,2.212,0.07,
8,77.997,2.129,203972.642,2.133,0.002,-134.763,0.002,648.284,0.248,0.25,1.362,0,0,117122,,,,,352,2.137,0.004,
9,77.698,1.829,203829.388,2.144,0.016,-151.753,0.188,651.031,0.254,0.443,1.361,0,0,117278,,,,,351,2.066,-0.078,
10,78.313,2.444,203669.12,2.162,0.016,-168.793,0.178,655.948,0.265,0.443,1.361,0,0,116890,,,,,350,2.017,-0.145,
11,78.082,2.213,203491.784,2.172,0.002,-185.888,-0.006,658.415,0.27,0.265,1.361,0,0,116700,,,,,349,2,-0.172,
12,78.343,2.475,203297.324,2.166,-0.014,-203.044,-0.22,655.912,0.265,0.045,1.361,0,0,116646,,,,,348,2.016,-0.15,
13,77.744,1.875,203085.675,2.147,-0.02,-220.264,-0.306,649.662,0.251,-0.055,1.362,0,0,116474,,,,,347,2.055,-0.092,
14,78.159,2.29,202856.772,2.13,-0.012,-237.554,-0.202,643.644,0.238,0.036,1.362,0,0,116686,,,,,346,2.1,-0.03,
15,77.628,1.76,202610.542,2.126,0.005,-254.918,0.014,641.669,0.234,0.248,1.362,0,0,116300,,,,,345,2.13,0.004,
16,77.874,2.006,202346.91,2.138,0.018,-272.361,0.18,644.54,0.24,0.421,1.362,0,0,116068,,,,,344,2.132,-0.006,
17,78.29,2.421,202065.793,2.157,0.017,-289.885,0.17,649.404,0.251,0.421,1.362,0,0,116234,,,,,343,2.106,-0.051,
18,78.051,2.183,201767.11,2.169,0.004,-307.496,-0.009,651.895,0.256,0.247,1.361,0,0,115698,,,,,342,2.066,-0.103,
19,78.251,2.383,201450.771,2.164,-0.013,-325.197,-0.228,649.415,0.251,0.023,1.362,0,0,115262,,,,,341,2.033,-0.131,
20,78.266,2.398,201116.685,2.146,-0.022,-342.99,-0.345,642.834,0.236,-0.109,1.362,0,0,114982,,,,,340,2.023,-0.123,
21,77.298,1.429,200764.759,2.124,-0.02,-360.88,-0.329,635.202,0.22,-0.109,1.363,0,0,114568,,,,,339,2.041,-0.083,
22,78.013,2.144,200394.893,2.107,-0.014,-378.868,-0.256,628.902,0.206,-0.049,1.363,0,0,114664,,,,,338,2.081,-0.026,
23,78.336,2.467,200006.99,2.094,-0.011,-396.957,-0.217,624.066,0.196,-0.021,1.364,0,0,114192,,,,,337,2.128,0.034,
24,78.097,2.229,199600.945,2.083,-0.012,-415.15,-0.226,619.485,0.186,-0.041,1.364,0,0,113876,,,,,336,2.168,0.085,
25,77.367,1.499,199176.655,2.071,-0.011,-433.448,-0.224,614.613,0.175,-0.049,1.365,0,0,114096,,,,,335,2.193,0.122,
26,78.343,2.475,198734.014,2.062,-0.005,-451.853,-0.141,610.608,0.167,0.025,1.365,0,0,113844,,,,,334,2.196,0.134,
27,77.844,1.975,198272.913,2.064,0.01,-470.366,0.036,609.7,0.165,0.201,1.365,0,0,113768,,,,,333,2.175,0.111,
28,77.813,1.944,197793.246,2.082,0.026,-488.988,0.239,613.484,0.173,0.412,1.365,0,0,113714,,,,,332,2.131,0.049,
29,77.713,1.844,197294.901,2.113,0.034,-507.72,0.339,621.141,0.189,0.528,1.364,0,0,113338,,,,,331,2.066,-0.047,
30,77.982,2.114,196777.77,2.145,0.026,-526.561,0.225,628.831,0.205,0.43,1.363,0,0,113736,,,,,330,1.993,-0.152,
31,78.682,2.813,196241.743,2.159,0,-545.512,-0.109,631.208,0.21,0.101,1.363,0,0,113668,,,,,329,1.93,-0.229,
32,78.097,2.229,195686.709,2.142,-0.034,-564.573,-0.538,624.381,0.196,-0.343,1.364,0,0,113378,,,,,328,1.893,-0.249,
33,77.79,1.921,195112.561,2.092,-0.062,-583.741,-0.883,608.188,0.161,-0.722,1.365,0,0,113748,,,,,327,1.895,-0.197,
34,77.821,1.952,194519.191,2.023,-0.073,-603.017,-1.005,586.273,0.114,-0.892,1.367,0,0,113694,,,,,326,1.926,-0.097,
35,78.113,2.244,193906.492,1.954,-0.061,-622.398,-0.857,564.518,0.067,-0.789,1.37,0,0,113498,,,,,325,1.969,0.015,
36,77.475,1.606,193274.36,1.907,-0.031,-641.883,-0.48,549.025,0.034,-0.445,1.371,0,0,113402,,,,,324,2.003,0.096,
37,77.59,1.722,192622.693,1.895,0.008,-661.469,-0.016,543.851,0.023,0.007,1.372,0,0,113092,,,,,323,2.018,0.123,
38,77.329,1.46,191951.39,1.919,0.035,-681.153,0.317,548.673,0.033,0.35,1.371,0,0,113318,,,,,322,2.01,0.091,
39,77.944,2.075,191260.356,1.959,0.038,-700.932,0.344,558.066,0.053,0.397,1.37,0,0,113204,,,,,321,1.978,0.019,
40,78.266,2.398,190549.496,1.988,0.017,-720.803,0.077,564.323,0.066,0.143,1.37,0,0,113406,,,,,320,1.925,-0.063,
